system,role,evidence_tier,workload,runtime,measurement_state,decision_bearing,unique_input_or_instance_scope,security_state,portability,main_paper_eligible,evidence,limitation
Conservative default,internal baseline,INTERNAL_MEASURED,controlled primary,Lattigo v6.2.0,MEASURED,YES,50 workload-partition instances,SECURITY_V2_ADMITTED_WHERE_EXECUTED,NATIVE,YES,docs/evidence/direct_synthesis_ablation_v1,finite declared primary scope
Latency-only,internal ablation,INTERNAL_MEASURED,controlled primary,Lattigo v6.2.0,MEASURED,NO_GATE,50 workload-partition instances,SECURITY_V2_FILTERED,NATIVE,YES_AS_ABLATION,docs/evidence/direct_synthesis_ablation_v1,not a decision-preserving selector
Security-V2 bounded catalog,internal bounded comparison,INTERNAL_MEASURED,controlled primary and shared polynomial,Lattigo v6.2.0,MEASURED,YES,700 formal candidates; 500+500 shared-polynomial inputs,PASS,NATIVE,YES,docs/evidence/security_v2_bounded_oracle_v1; docs/evidence/focused_external_comparison_v8,"bounded catalog, not a global oracle"
FlipGuard direct,proposed direct provider and gate,INTERNAL_MEASURED,controlled primary and shared polynomial,Lattigo v6.2.0,MEASURED_WITH_REPEAT_AMBIGUITY,YES,50 primary instances; 500+500 shared-polynomial inputs,PASS,NATIVE,YES_WITH_V_CERT_SCOPE,docs/evidence/final_realistic_baseline_closure_v9/direct_repeat_flip_forensics,one V_amb input flips in eight measurement repeats
Microsoft EVA,external compiler/provider,EXTERNAL_DECISION_BEARING,shared polynomial threshold,SEAL native,MEASURED,YES,500 validation + 500 locked audit,NATIVE_RUNTIME_MODEL_NOT_SECURITY_V2_EQUIVALENT,NATIVE_ONLY,YES_FOR_DECISION_RESULTS,docs/evidence/focused_external_comparison_v8,no raw cross-runtime latency ranking
Google HEIR Lattigo,external compiler/provider,EXTERNAL_DECISION_BEARING,exact shared polynomial threshold,Lattigo v6.2.0 common executor,MEASURED,YES,500 validation + 500 locked audit; 100 latency inputs,PASS,PORTABLE_EXACT,YES,docs/evidence/final_realistic_baseline_closure_v9/pairwise_latency_claim_admission.json,one exact shared workload; HEIR is not an autotuner
Google HEIR OpenFHE,external compiler/provider,EXTERNAL_DECISION_BEARING,shared polynomial threshold,OpenFHE native,MEASURED,YES,500 validation + 500 locked audit,NATIVE_RUNTIME_MODEL_NOT_SECURITY_V2_ALIGNED,NATIVE_ONLY,YES_FOR_NATIVE_DECISION_RESULTS,docs/evidence/focused_external_comparison_v8,no cross-runtime latency ratio
CoreLab EVA mode,external numerical scale plan,EXTERNAL_NUMERICAL_ONLY,official LinearRegression,SEAL native,36_OF_36_PLANS_COMPLETED,NO,200 inputs per completed plan,NATIVE_RUNTIME_MODEL_NOT_SECURITY_V2_ALIGNED,DIFFERENT_MODEL_NUMERICAL_ONLY,YES_AS_NUMERICAL_PANEL,docs/evidence/focused_external_comparison_v8/corelab_plan_status.csv,not a threshold-decision comparison
CoreLab ELASM mode,external numerical scale plan,EXTERNAL_NUMERICAL_ONLY,official LinearRegression,SEAL native,34_OF_36_PLANS_COMPLETED,NO,200 inputs per completed plan,NATIVE_RUNTIME_MODEL_NOT_SECURITY_V2_ALIGNED,DIFFERENT_MODEL_NUMERICAL_ONLY,YES_AS_PARTIAL_NUMERICAL_PANEL,docs/evidence/focused_external_comparison_v8/corelab_plan_status.csv,two native plan failures preserved
HECATE,scale-management related work,RELATED_WORK_PAPER_ONLY,not executed in V9,official compiler inspected,HECATE_PAPER_BASELINE_ONLY,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,OFFICIAL_STANDALONE_MODE_NOT_EXPOSED,RELATED_WORK_ONLY,docs/evidence/final_realistic_baseline_closure_v9/hecate_feasibility.json,paper-derived pass composition was prohibited
Orion,DNN compiler related work plus feasibility self-test,RELATED_WORK_WITH_AUXILIARY_OFFICIAL_SELF_TEST,official untrained seed-42 MLP self-test,Orion Lattigo backend in Python 3.11,10_INPUT_SELF_TEST_PASS_FULL_EXTENSION_BLOCKED,AUXILIARY_ONLY,10 ordered preflight inputs,NATIVE_CONFIG_ONLY_NOT_FORMAL_SECURITY_V2_COMPARISON,NATIVE_ONLY,NO_AS_MEASURED_BASELINE,docs/evidence/final_realistic_baseline_closure_v9/orion_preflight.json,no official trained MLP weights; no validation/audit extension
