type,number,title_ko,title_en,source_path,source_sha256,evidence_dependency,chapter,first_reference_line,caption_status,cited_in_text
figure,1,FlipGuard 최종 프레임워크,Final FlipGuard framework,results/thesis_grade_protocol/paper_artifacts_v3/final/figures/figure_01_framework.svg,e2c4ebc29d2af743bdcd1eb9729c626aa3ff9736718797d0702df3d17cdaa4ab,final_suite;paper_claim_admission,05_flipguard_design,7,APPROVED,true
figure,2,기존 provider/autotuner와 결정 무결성 계층,Existing provider/autotuner versus Decision-Integrity Layer,results/thesis_grade_protocol/paper_artifacts_v3/final/figures/figure_02_decision_integrity_layer.svg,06521f19b0a44ac06194ae27c4deaf332ffd5418e5491dd3d01e6b7c2a9b0ed3,paper_claim_admission,03_related_work,29,APPROVED,true
figure,3,결정 보존 충분조건과 50% margin-utilization 정책,Decision theorem versus 50-percent utilization policy,results/thesis_grade_protocol/paper_artifacts_v3/final/figures/figure_03_margin_theorem_policy.svg,83140755c5663ef5cebf24edd9345913376a5bcec28f5427d4ec61a1f9defa3c,margin_interpretation,02_background,47,APPROVED,true
figure,4,직접 후보 trial과 bounded catalog 비교,Direct candidate trials versus bounded catalog,results/thesis_grade_protocol/paper_artifacts_v3/final/figures/figure_04_trial_reduction.svg,c1d3ed4cf3c338dcae8f19b75cb1e08f7a973cd4668f42e1ff208c04d669e18a,final_suite;bounded_oracle,08_results,14,APPROVED,true
figure,5,Confirmatory paired latency,Confirmatory paired latency,results/thesis_grade_protocol/paper_artifacts_v3/final/figures/figure_05_paired_latency.svg,d083c1f56a2ac92ea0c102b4b85000e5d84fcfa23aebb6e5ebea5f9a709a4858,paired_latency_admission,08_results,55,APPROVED,true
figure,6,Primary locked-audit 결과,Primary locked-audit outcomes,results/thesis_grade_protocol/paper_artifacts_v3/final/figures/figure_06_primary_locked_audit.svg,f430b868876d4ba5b4451da4f503107738a883f4dc04d18dc42f72be193de28c,direct_confirmatory;direct_development,08_results,33,APPROVED,true
figure,7,NO_SAFE 통제 결과,NO_SAFE controls,results/thesis_grade_protocol/paper_artifacts_v3/final/figures/figure_07_no_safe_controls.svg,23642a11de15601b023114a8c2305f406f51a90186befeb2704b01bff878bc26,no_safe,08_results,44,APPROVED,true
figure,8,구조 및 확장 범위 행렬,Structural and extension scope matrix,results/thesis_grade_protocol/paper_artifacts_v3/final/figures/figure_08_structural_scope_matrix.svg,f93ac2cfada6f72ae657517f71c9ab2eba7ba90183bceee910e4285f507837a2,structural;sobel;harris;cnn_lite;training_seed,08_results,97,APPROVED,true
figure,9,Margin utilization 분포와 structural rejection,Margin-utilization distribution and structural rejection,results/thesis_grade_protocol/paper_artifacts_v3/final/figures/figure_09_margin_utilization_rejection.svg,51e7d3607124e58a9931c9e8b343289f7ddc78b5f624784d66c1ee026f362cb4,margin_interpretation;structural_failure,08_results,91,APPROVED,true
figure,10,논문 주장 범위도,Claim scope map,results/thesis_grade_protocol/paper_artifacts_v3/final/figures/figure_10_claim_scope_map.svg,82fad58f15aaa31aa77ad42e334fa83746badd21846cb792d721ef79729e3828,paper_claim_admission,08_results,136,APPROVED,true
table,1,주장 및 근거 레지스트리,Claim and evidence registry,results/thesis_grade_protocol/paper_artifacts_v3/final/tables/01_claim_evidence_registry.md,4602d381b7ce77a5c58558b3cdcd38bef972862978a30d5901c427a4218ca78c,paper_claim_admission,04_problem_and_assurance_model,59,APPROVED,true
table,2,워크로드 모델 입력 범위,Workload model and input scope,results/thesis_grade_protocol/paper_artifacts_v3/final/tables/02_workload_model_input_scope.md,88faeef520e6999ffd280fea24c2fde5bd7973dcc3fc2c8854e496390973d964,final_suite;structural;sobel;harris;cnn_lite;training_seed,07_evaluation_methodology,7,APPROVED,true
table,3,Primary direct selection 및 locked audit,Primary direct selection and locked audit,results/thesis_grade_protocol/paper_artifacts_v3/final/tables/03_primary_direct_selection_locked_audit.md,4ae8a928a6cd04ae92bb3df527bdec3fb45d6f566d10e21b1611988c7507157d,direct_confirmatory;direct_development,08_results,9,APPROVED,true
table,4,정식 trial 감소,Formal trial reduction,results/thesis_grade_protocol/paper_artifacts_v3/final/tables/04_formal_trial_reduction.md,e455cee88d048f229265815d2888ddf2d41e4bab22a7e00c2dc0a277a6f14d42,final_suite;bounded_oracle,08_results,14,APPROVED,true
table,5,Confirmatory paired latency,Confirmatory paired latency,results/thesis_grade_protocol/paper_artifacts_v3/final/tables/05_paired_latency_confirmatory.md,0426c2785dc84e629876bac4557a8fd89ec020262edf9df3ab7821141d72e5c2,paired_latency_admission,08_results,55,APPROVED,true
table,6,Direct synthesis ablation,Direct-synthesis ablation,results/thesis_grade_protocol/paper_artifacts_v3/final/tables/06_direct_synthesis_ablation.md,0f08302d32ef2c744f8855312dcb49e96142c621ee98cc4741ad10272594f2e7,direct_ablation,08_results,24,APPROVED,true
table,7,NO_SAFE 통제,NO_SAFE controls,results/thesis_grade_protocol/paper_artifacts_v3/final/tables/07_no_safe_controls.md,c2cc0a2af17eae4f14220a5b7ffffba2b06aef36b70f8aa912718e8598658a35,no_safe,08_results,44,APPROVED,true
table,8,정책 및 margin-utilization 민감도,Policy and margin-utilization sensitivity,results/thesis_grade_protocol/paper_artifacts_v3/final/tables/08_policy_margin_utilization_sensitivity.md,9b1cb1917cdf5b6686c464d0d7d3de2cf82eaf075a6e833bd870fd881627ce4f,policy_sensitivity;margin_interpretation,08_results,72,APPROVED,true
table,9,구조적 다항식 holdout,Structural polynomial holdout,results/thesis_grade_protocol/paper_artifacts_v3/final/tables/09_structural_polynomial_holdout.md,016ec6220187c842a95af63b999861a942ab6230f245dc727920a60bf69f2258,structural;structural_failure,08_results,80,APPROVED,true
table,10,제한된 비표형 확장,Scoped non-tabular extension,results/thesis_grade_protocol/paper_artifacts_v3/final/tables/10_scoped_non_tabular_extension.md,50b3bcc324af25a96b98dc28fb84c2727f6b832f47fcf2ea862535bd20ebd071,sobel;harris;cnn_lite,08_results,97,APPROVED,true
table,11,독립 training/data-seed 확장,Independent training/data-seed extension,results/thesis_grade_protocol/paper_artifacts_v3/final/tables/11_independent_training_seed_extension.md,b895d6e75eb38aeb47fb7eb42492620242945a42382a2fbcaa16172272adfa53,training_seed,08_results,112,APPROVED,true
table,12,Security 및 exact-Q/P 재감사,Security and exact-Q/P attestation,results/thesis_grade_protocol/paper_artifacts_v3/final/tables/12_security_exact_qp_attestation.md,4c31e913fbc554c74a378cf33476ce7c892dc7a1a7c984c078fcf2bee27a860c,security_attestation;exact_estimator,08_results,121,APPROVED,true
table,13,실패 및 negative-result 분류,Failure and negative-result taxonomy,results/thesis_grade_protocol/paper_artifacts_v3/final/tables/13_failure_negative_result_taxonomy.md,68a09c4177c2a7cede545896e42e9717460579827e7c1242ae444019a8faf702,structural_failure;no_safe;validation_identity,08_results,87,APPROVED,true
