tag,dataset_id,model_id,selection_result_sha256,audit_result_sha256,candidate_id,trials,repairs,selection_key_runs,selection_encrypted_sample_evaluations,audit_outcome,audit_flips,audit_violations,audit_retuning,literal_parameters_equal_full,candidate_id_equal_full
seed0__banknote__linear_poly3,banknote,linear_poly3,sha256:49661c123d219ca57461f47da7bacca409ee0a759a9918d3c7f56161ac36c25a,sha256:666dd2ebafb882e5ff2b1d1db510bae8a1f29e8c788b8d2529eb94aba537129a,synth_repair_scale_1_rescale_N13_Q7_S24_067bcad7ea58,2,1,6,1230,LOCKED_AUDIT_PASS,0,0,0,True,False
seed0__banknote__mlp_square_linear_score,banknote,mlp_square_linear_score,sha256:683f64bab83d569d46b1ee3b5117ec0fa6ba1f6509a73a2b837e9706056c2ed8,sha256:953115661353686afdfd7f9a7f87b1b138592f95c79de0cc4750bd8d4ed60bcc,synth_analysis_minimum_rescale_N13_Q6_S20_c4da0c87b178,1,0,3,615,LOCKED_AUDIT_PASS,0,0,0,True,False
seed0__digits_binary__linear_poly3,digits_binary,linear_poly3,sha256:7951f7c7e4065d7928a101eb049578152ff06debc3061c70c8a81579600e7c8b,sha256:738a672a0baf2da2725241f5732a4bf0d1408e591f2ae736bf455fadd6a8190e,synth_repair_scale_1_rescale_N13_Q7_S24_c61f6e7d9c76,2,1,6,1620,LOCKED_AUDIT_PASS,0,0,0,True,False
seed0__digits_binary__mlp_square_linear_score,digits_binary,mlp_square_linear_score,sha256:164f26030024fc5bb41af544e86d0f98612aeee22f458f8e52a1fad4212682fc,sha256:2076849f93ecabd19d43188c0cd9b78003e3ea02adb6927d1220d3635551fe11,synth_analysis_minimum_rescale_N13_Q6_S20_cf4e262325b9,1,0,3,810,LOCKED_AUDIT_PASS,0,0,0,True,False
seed0__iris_binary__linear_poly3,iris_binary,linear_poly3,sha256:550d521bc9bc47b8343ece74f677ae31f1488def6fad60093815e642a6cbee69,sha256:9c2d2bcdc4da3a3c4ee405f3844ddab21bb2cfbc2831c289942362a1ed693244,synth_analysis_minimum_rescale_N13_Q7_S20_3a9b88aabbb2,1,0,3,42,LOCKED_AUDIT_PASS,0,0,0,True,False
seed0__iris_binary__mlp_square_linear_score,iris_binary,mlp_square_linear_score,sha256:d46b01f0ca9073edfc0a7215c16d1e903c591f1d738ce528bc8b0c96e4c8d62a,sha256:a5ad48bf80f451ef325905686eb13ec9ae41cc16b1a3f3711f091ff739f7a9aa,synth_analysis_minimum_rescale_N13_Q6_S20_869be9dc4276,1,0,3,42,LOCKED_AUDIT_PASS,0,0,0,True,False
seed0__mnist_pool16__linear_poly3,mnist_pool16,linear_poly3,sha256:c0478497682f5567dce7b06502a69418a2c903becceabddcdbd264e709275480,sha256:9e84c829fc4a3a49c9204ac9f524d93e1847e56acee70ec7374efd840b5351ab,synth_repair_scale_1_rescale_N13_Q7_S24_498f0d45e397,2,1,6,1494,LOCKED_AUDIT_PASS,0,0,0,True,False
seed0__mnist_pool16__mlp_square_linear_score,mnist_pool16,mlp_square_linear_score,sha256:c2c4d8b007c1a60e82529fbce147227a92246e4829e6a7f296c81adfff4ec73c,sha256:25bf0c41d362490ec5f19a082e5947112a1b4f9fe9811ba64e50e8c9bc2bc85d,synth_analysis_minimum_rescale_N13_Q6_S20_d3adc0b7723e,1,0,3,747,LOCKED_AUDIT_PASS,0,0,0,True,False
seed0__wdbc__linear_poly3,wdbc,linear_poly3,sha256:024f6323e8a63c72c68cdff0434cd7eadf14879f85abb144eefba96bc7950e34,sha256:67d036e9ab61a20d6e6fe961e58a16524b0101166f60a77e715f17cdb1991d80,synth_repair_scale_1_rescale_N13_Q7_S24_2892182d1672,2,1,6,510,LOCKED_AUDIT_PASS,0,0,0,True,False
seed0__wdbc__mlp_square_linear_score,wdbc,mlp_square_linear_score,sha256:509a019fb43c5e861cb4132f9c7642b2dd7f7cf356741f79a4cff3882414241b,sha256:d2525ffd984fc0360f1a12399ec384eb3d0b40d20562ba1eda15db8bc00a64d0,synth_analysis_minimum_rescale_N13_Q6_S20_6d2e68830e17,1,0,3,255,LOCKED_AUDIT_PASS,0,0,0,True,False
