type,number,title_en,source_path,source_sha256,evidence_dependency,chapter,caption_position,status
Figure,1,Separation between configuration providers and the FlipGuard decision-integrity layer,results/thesis_grade_protocol/paper_artifacts_v3/final/figures/figure_02_decision_integrity_layer.svg,06521f19b0a44ac06194ae27c4deaf332ffd5418e5491dd3d01e6b7c2a9b0ed3,paper_artifacts_v3,II,below,BOUND
Figure,2,Binary threshold and multiclass argmax decision contracts,results/thesis_grade_protocol/journal_extension_paper_inputs_v1/figures/figure_02_binary_multiclass_contracts.svg,8c6d23603c821fd2afd5ed0864a7907ae9fd1f4c7935caa96beffb64e9e58217,journal_extension_paper_inputs_v1,III,below,BOUND
Figure,3,Three-tier evaluation hierarchy and statistical units,results/thesis_grade_protocol/journal_extension_paper_inputs_v1/figures/figure_01_evaluation_hierarchy.svg,ceacee8738a55d76df609ec764e31b0b5a47807ab66970759f453d3cb8e45538,journal_multiclass_extension_final_v1,V,below,BOUND
Figure,4,Direct candidate trials versus the Security-V2 bounded catalog,results/thesis_grade_protocol/paper_artifacts_v3/final/figures/figure_04_trial_reduction.svg,c1d3ed4cf3c338dcae8f19b75cb1e08f7a973cd4668f42e1ff208c04d669e18a,paper_artifacts_v3,VI,below,BOUND
Figure,5,Confirmatory paired total-latency ratio for the Controlled Primary,results/thesis_grade_protocol/paper_artifacts_v3/final/figures/figure_05_paired_latency.svg,d083c1f56a2ac92ea0c102b4b85000e5d84fcfa23aebb6e5ebea5f9a709a4858,paired_latency_claim_admission_v1,VI,below,BOUND
Figure,6,Focused MLP-100 paired total-latency ratios and 95% intervals,docs/journal/figures/figure_06_mlp_paired_latency.svg,9d991a17450926b3dd9908a19f25dfa66b2e4516f5c263988ead0f28190b5696,journal_mlp_paired_latency_v1,VI,below,BOUND
Table,1,Comparison of optimization and assurance roles,docs/research/step_8a_evaluation_breadth_audit.md,0dc77acf07faa06ab13e903545c9ee0d155b5885fc8025ab5177aedb5457ec29,primary-source literature audit,II,above,BOUND
Table,2,FlipGuard outcome semantics and assurance boundary,docs/evidence/journal_multiclass_claim_admission_v2/claims.json,6483d3a8e84701759b0f80f2fed7257ef0bb56f31169c26931012cfecea8cea3,journal_multiclass_claim_admission_v2,III,above,BOUND
Table,3,Evaluation hierarchy and declared units,docs/evidence/journal_multiclass_extension_final_v1/experiment_hierarchy.json,1951f270a8c381cb327583cee41cd61a9a7f4ea3e757253d7ae38b326d81ecf1,journal_multiclass_extension_final_v1,V,above,BOUND
Table,4,Controlled Primary selection audit and latency results,results/thesis_grade_protocol/paper_artifacts_v3/final/tables/04_formal_trial_reduction.md,e455cee88d048f229265815d2888ddf2d41e4bab22a7e00c2dc0a277a6f14d42,paper_artifacts_v3 and paired_latency_claim_admission_v1,VI,above,BOUND
Table,5,Standard multiclass selection audit catalog and security results,docs/evidence/journal_multiclass_extension_final_v1/final_summary.json,0d30c181da63150fd47de6d0ccec6454bd8854548eb1cd20a783270b40b78860,journal_multiclass_extension_final_v1,VI,above,BOUND
Table,6,Focused MLP-100 paired-latency amendment,docs/evidence/journal_mlp_paired_latency_v1/analysis/summary.json,77aaef25c097f815b6473bed3a4d55d8bb4dbfcc2b8ae44ffb493f19d203f8c0,journal_mlp_paired_latency_v1,VI,above,BOUND
Table,7,Abstention negative results and additional robustness,results/thesis_grade_protocol/paper_artifacts_v3/final/tables/13_failure_negative_result_taxonomy.md,68a09c4177c2a7cede545896e42e9717460579827e7c1242ae444019a8faf702,paper_artifacts_v3 and journal_multiclass_extension_final_v1,VI,above,BOUND
