document,section,paragraph_sentence,sentence_text,positive_technical_claim,claim_id,evidence_dependency,state,permitted_scope,required_citation,proposed_correction,lint_status
journal_v10,FRONT_MATTER,p1.s1,FlipGuard: 결정 안정성 제약 기반 CKKS 실행 구성 선택,YES,finite_scope_decision_integrity,direct_confirmatory;direct_development;margin_interpretation;no_safe,PARTIALLY_SUPPORTED,declared finite validation and locked-audit artifacts,EVIDENCE_REGISTRY,,PASS
journal_v10,FRONT_MATTER,p2.s1,FlipGuard: Decision-Stability-Constrained Selection of CKKS Configurations,NO,BACKGROUND,,BACKGROUND,Background/definition only,YES,,PASS
journal_v10,FRONT_MATTER,p4.s1,CKKS의 근사 오차는 작더라도 임계값이나 argmax 경계를 넘으면 최종 판단을 바꿀 수 있다.,NO,multiclass_argmax_proposition,docs/evidence/journal_multiclass_extension_v1/multiclass_contract.json;internal/certify/multiclass_decision_contract.go;internal/certify/multiclass_decision_contract_test.go,SUPPORTED,"finite logits with finite class-wise error bounds, strict inequalities, and no plaintext tie",EVIDENCE_REGISTRY,,PASS
journal_v10,FRONT_MATTER,p4.s2,"본 논문은 기본 설정, 고정 후보군, 외부 컴파일러와 내장 직접 합성기가 생성한 후보를 동일한 결정 안정성 기준으로 검사하고, 적합한 후보 중 가장 빠른 실행 구성을 선택하는 FlipGuard를 제안한다.",YES,finite_scope_decision_integrity;scoped_direct_synthesis,direct_confirmatory;direct_development;margin_interpretation;no_safe;final_suite,PARTIALLY_SUPPORTED,"declared finite validation and locked-audit artifacts | declared tabular, polynomial, Sobel, Harris, and scalar-replicated CNN-lite adapters",EVIDENCE_REGISTRY,,PASS
journal_v10,FRONT_MATTER,p4.s3,"5개 공개 데이터셋과 2개 이진 그래프의 50개 반복 분할에서 FlipGuard는 700개 고정 후보를 모두 실행하는 대신 70회의 암호화 후보 실행으로 구성을 선택했으며, 확증 단계의 설정 고정 최종 검증 40건을 모두 통과했다.",YES,formal_trial_reduction,final_suite;bounded_oracle,SUPPORTED,Security-V2-admitted 7 profiles x 2 paths over the declared instances,EVIDENCE_REGISTRY,,PASS
journal_v10,FRONT_MATTER,p4.s4,"또한 EVA가 생성한 scale 20 후보는 500개 검증 입력에서 133회의 판단 반전을 일으켰지만 scale 30과 40은 반전이 없었고, 선택된 scale 30은 별도 500개 audit에서도 판단을 유지했다.",YES,eva_substantial_population_and_locked_audit;finite_scope_decision_integrity,docs/evidence/focused_external_comparison_v8/claim_admission.json;direct_confirmatory;direct_development;margin_interpretation;no_safe,PARTIALLY_SUPPORTED,V8 external-comparison declared workload and runtime scope | declared finite validation and locked-audit artifacts,EVIDENCE_REGISTRY,,PASS
journal_v10,FRONT_MATTER,p4.s5,결과는 선언된 후보·입력·그래프·보안 모델과 한 대의 측정 호스트 범위에 한정된다.,YES,BACKGROUND,,BACKGROUND,Background/definition only,YES,,PASS
journal_v10,FRONT_MATTER,p5.s1,"주요어: CKKS, 동형암호, 결정 안정성, 실행 구성 선택, 암호화 추론",YES,finite_scope_decision_integrity,direct_confirmatory;direct_development;margin_interpretation;no_safe,PARTIALLY_SUPPORTED,declared finite validation and locked-audit artifacts,EVIDENCE_REGISTRY,,PASS
journal_v10,FRONT_MATTER,p7.s1,Approximation error in CKKS may be numerically small yet still cross a threshold or argmax boundary and change the application decision.,NO,multiclass_argmax_proposition,docs/evidence/journal_multiclass_extension_v1/multiclass_contract.json;internal/certify/multiclass_decision_contract.go;internal/certify/multiclass_decision_contract_test.go,SUPPORTED,"finite logits with finite class-wise error bounds, strict inequalities, and no plaintext tie",EVIDENCE_REGISTRY,,PASS
journal_v10,FRONT_MATTER,p7.s2,"FlipGuard evaluates candidates from manual defaults, a bounded catalog, external compilers, and a built-in direct synthesizer under one decision-stability criterion, then selects the lowest-latency eligible configuration or returns NO_SAFE.",NO,no_safe_behavior,no_safe,SUPPORTED,one-candidate budget control and declared two-candidate finite domain,EVIDENCE_REGISTRY,,PASS
journal_v10,FRONT_MATTER,p7.s3,"Across 50 repeated partitions from five public datasets and two binary graph families, FlipGuard selected configurations using 70 encrypted candidate executions instead of exhaustively running 700 catalog candidates; all 40 confirmatory selections passed a locked final audit without retuning.",YES,formal_trial_reduction,final_suite;bounded_oracle,SUPPORTED,Security-V2-admitted 7 profiles x 2 paths over the declared instances,EVIDENCE_REGISTRY,,PASS
