split_seed,dataset_id,model_id,expected_outcome,outcome,trial_status,failure_signal,decision_flips,error_violations,max_observed_error,v_cert,v_amb,candidate_id,log_n,q_prime_count,log_default_scale,result_path,result_sha256
0,banknote,linear_poly3,NO_SAFE,NO_SAFE,REJECTED,NUMERICAL_REJECT,3,12,0.017268367980862398,207,0,synth_analysis_minimum_rescale_N13_Q7_S20_457a2954747b,13,7,20,results/thesis_grade_protocol/no_safe_budget_control_v1/pilot_seed0/results/seed0_banknote_linear_poly3.json,sha256:21f1317b91a7735e734da1982a49b71db51641cccefb9224f329f57c92fd3612
0,banknote,mlp_square_linear_score,SELECTED,SELECTED,SAFE,,0,0,0.00020193724696382365,207,0,synth_analysis_minimum_rescale_N13_Q6_S20_96c0cb894de1,13,6,20,results/thesis_grade_protocol/no_safe_budget_control_v1/pilot_seed0/results/seed0_banknote_mlp_square_linear_score.json,sha256:5f234b58f550f0bdb434ebc7e3164bb51c589bb5de109078546fc02f07ce0733
0,digits_binary,linear_poly3,NO_SAFE,NO_SAFE,REJECTED,NUMERICAL_REJECT,38,160,0.016437459062717374,266,4,synth_analysis_minimum_rescale_N13_Q7_S20_97a31bf882ea,13,7,20,results/thesis_grade_protocol/no_safe_budget_control_v1/pilot_seed0/results/seed0_digits_binary_linear_poly3.json,sha256:d8c08f1ad49f6d311073d253390d1951594032d084bb373e413c2a2758025438
0,digits_binary,mlp_square_linear_score,SELECTED,SELECTED,SAFE,,0,0,7.960639560961047e-05,251,19,synth_analysis_minimum_rescale_N13_Q6_S20_e893247cea61,13,6,20,results/thesis_grade_protocol/no_safe_budget_control_v1/pilot_seed0/results/seed0_digits_binary_mlp_square_linear_score.json,sha256:436041b5b4217cc522fbc6a6229166eba2cdb0b69710df34a8356592ba1daa48
0,iris_binary,linear_poly3,SELECTED,SELECTED,SAFE,,0,0,0.012924731204578932,16,0,synth_analysis_minimum_rescale_N13_Q7_S20_505a71a053bb,13,7,20,results/thesis_grade_protocol/no_safe_budget_control_v1/pilot_seed0/results/seed0_iris_binary_linear_poly3.json,sha256:4fa615d5e01c37b0186954c0d3666efce57212379c29520152ff4c98c0e5b5cc
0,iris_binary,mlp_square_linear_score,SELECTED,SELECTED,SAFE,,0,0,8.537520057605441e-05,16,0,synth_analysis_minimum_rescale_N13_Q6_S20_cd5444de17be,13,6,20,results/thesis_grade_protocol/no_safe_budget_control_v1/pilot_seed0/results/seed0_iris_binary_mlp_square_linear_score.json,sha256:11298071ed06bbe0f0d5a77fe31859f67e51a07878f61ff7905dd536c3f2d023
0,mnist_pool16,linear_poly3,NO_SAFE,NO_SAFE,REJECTED,NUMERICAL_REJECT,31,116,0.014975647505515777,246,5,synth_analysis_minimum_rescale_N13_Q7_S20_038aede8ea27,13,7,20,results/thesis_grade_protocol/no_safe_budget_control_v1/pilot_seed0/results/seed0_mnist_pool16_linear_poly3.json,sha256:374f68965e3881323bd97812281002a6e20230f581a01838cee739ee1cecb909
0,mnist_pool16,mlp_square_linear_score,SELECTED,SELECTED,SAFE,,0,0,6.206522095375533e-05,247,4,synth_analysis_minimum_rescale_N13_Q6_S20_129a461f07b0,13,6,20,results/thesis_grade_protocol/no_safe_budget_control_v1/pilot_seed0/results/seed0_mnist_pool16_mlp_square_linear_score.json,sha256:0fb4bd91f72366925a72b7e2cbaa27b976965e7d4c8bba52266569d58c06507f
0,wdbc,linear_poly3,NO_SAFE,NO_SAFE,REJECTED,NUMERICAL_REJECT,3,26,0.017429968288538933,85,1,synth_analysis_minimum_rescale_N13_Q7_S20_d2ab588507b7,13,7,20,results/thesis_grade_protocol/no_safe_budget_control_v1/pilot_seed0/results/seed0_wdbc_linear_poly3.json,sha256:72b85b81f9b9e4d31e3d0d11b632825bd7056e6cb187f3b604c110eb592dcff4
0,wdbc,mlp_square_linear_score,SELECTED,SELECTED,SAFE,,0,0,0.0005078087662668818,82,4,synth_analysis_minimum_rescale_N13_Q6_S20_fe22c69bc174,13,6,20,results/thesis_grade_protocol/no_safe_budget_control_v1/pilot_seed0/results/seed0_wdbc_mlp_square_linear_score.json,sha256:06cbe34decafa0ed411ba727ba6d4f0879f95d96e8ff72a8c9f2a3828d248104
