role,workload_id,dataset_id,model_type,candidate_id,path,literal_signature,security_admission,graph_contract_supported,primitive_bounds_complete,proof_eligible,observed_vs_bound_audit,analytical_claim_state,block_reasons,selection_sha256
confirmatory_seeds1_4,split_seed_1/banknote/linear_poly3,banknote,linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_851ef4e949b6,rescale,sha256:f2d4744dadb69cbde1b3ac77f095d7a22a176d692d43145710e785fcf8649547,PASS,True,False,False,NOT_RUN_NO_BOUND,BLOCKED,NO_SCOPED_ABSOLUTE_INPUT_ENCRYPTION_BOUND;NO_SCOPED_ABSOLUTE_PLAINTEXT_ENCODING_BOUND;NO_SCOPED_ABSOLUTE_MULTIPLY_RELINEARIZE_RESCALE_BOUND;OBSERVED_VS_BOUND_AUDIT_NOT_RUN,sha256:30a15db32795cfb983b72e4e57cb1a723d72bd31c276ad2d8e7377e188513c0a
confirmatory_seeds1_4,split_seed_1/banknote/mlp_square_linear_score,banknote,mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_87eb4549e3bd,rescale,sha256:ed4b627b7562ca17fda7f172438fe71a75d5edc7aec561bc87efd1f3b264523a,PASS,False,False,False,NOT_RUN_NO_BOUND,BLOCKED,MODEL_OPERATION_GRAPH_NOT_IMPLEMENTED_IN_ANALYTICAL_V2;NO_SCOPED_ABSOLUTE_INPUT_ENCRYPTION_BOUND;NO_SCOPED_ABSOLUTE_PLAINTEXT_ENCODING_BOUND;NO_SCOPED_ABSOLUTE_MULTIPLY_RELINEARIZE_RESCALE_BOUND;OBSERVED_VS_BOUND_AUDIT_NOT_RUN,sha256:91698859c3057cecc6fe7f7539eb29756e81a6ae8b998b2e1c6928bd0bc085a1
confirmatory_seeds1_4,split_seed_1/digits_binary/linear_poly3,digits_binary,linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_b766b1f184e7,rescale,sha256:f2d4744dadb69cbde1b3ac77f095d7a22a176d692d43145710e785fcf8649547,PASS,True,False,False,NOT_RUN_NO_BOUND,BLOCKED,NO_SCOPED_ABSOLUTE_INPUT_ENCRYPTION_BOUND;NO_SCOPED_ABSOLUTE_PLAINTEXT_ENCODING_BOUND;NO_SCOPED_ABSOLUTE_MULTIPLY_RELINEARIZE_RESCALE_BOUND;OBSERVED_VS_BOUND_AUDIT_NOT_RUN,sha256:2e38da59ca83d7d861d6dd079fc6ce11a8e08a7600e23ac6a10f4047b62b5060
confirmatory_seeds1_4,split_seed_1/digits_binary/mlp_square_linear_score,digits_binary,mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_d5a26d9ac7cc,rescale,sha256:ed4b627b7562ca17fda7f172438fe71a75d5edc7aec561bc87efd1f3b264523a,PASS,False,False,False,NOT_RUN_NO_BOUND,BLOCKED,MODEL_OPERATION_GRAPH_NOT_IMPLEMENTED_IN_ANALYTICAL_V2;NO_SCOPED_ABSOLUTE_INPUT_ENCRYPTION_BOUND;NO_SCOPED_ABSOLUTE_PLAINTEXT_ENCODING_BOUND;NO_SCOPED_ABSOLUTE_MULTIPLY_RELINEARIZE_RESCALE_BOUND;OBSERVED_VS_BOUND_AUDIT_NOT_RUN,sha256:92805e21b853a64d170339697ccde251ff01f4d0ea4deef62c8c8f1a5754c5b7
confirmatory_seeds1_4,split_seed_1/iris_binary/linear_poly3,iris_binary,linear_poly3,synth_analysis_minimum_rescale_N13_Q7_S20_d2d0b13c1583,rescale,sha256:36379918ed7432772f482cdcb7b97ebef72711f96e2dad7d3e068423aa53008a,PASS,True,False,False,NOT_RUN_NO_BOUND,BLOCKED,NO_SCOPED_ABSOLUTE_INPUT_ENCRYPTION_BOUND;NO_SCOPED_ABSOLUTE_PLAINTEXT_ENCODING_BOUND;NO_SCOPED_ABSOLUTE_MULTIPLY_RELINEARIZE_RESCALE_BOUND;OBSERVED_VS_BOUND_AUDIT_NOT_RUN,sha256:f64c47a80bbcd70eb47ae9a7192e073591eda08c49d06154c0f10b5efa786e67
confirmatory_seeds1_4,split_seed_1/iris_binary/mlp_square_linear_score,iris_binary,mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_a26fec41a3b2,rescale,sha256:ed4b627b7562ca17fda7f172438fe71a75d5edc7aec561bc87efd1f3b264523a,PASS,False,False,False,NOT_RUN_NO_BOUND,BLOCKED,MODEL_OPERATION_GRAPH_NOT_IMPLEMENTED_IN_ANALYTICAL_V2;NO_SCOPED_ABSOLUTE_INPUT_ENCRYPTION_BOUND;NO_SCOPED_ABSOLUTE_PLAINTEXT_ENCODING_BOUND;NO_SCOPED_ABSOLUTE_MULTIPLY_RELINEARIZE_RESCALE_BOUND;OBSERVED_VS_BOUND_AUDIT_NOT_RUN,sha256:6001f7111d0c4624e34b79111ffe432c96642006134984288ec6d0468561ef22
confirmatory_seeds1_4,split_seed_1/mnist_pool16/linear_poly3,mnist_pool16,linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_fe527e522ab1,rescale,sha256:f2d4744dadb69cbde1b3ac77f095d7a22a176d692d43145710e785fcf8649547,PASS,True,False,False,NOT_RUN_NO_BOUND,BLOCKED,NO_SCOPED_ABSOLUTE_INPUT_ENCRYPTION_BOUND;NO_SCOPED_ABSOLUTE_PLAINTEXT_ENCODING_BOUND;NO_SCOPED_ABSOLUTE_MULTIPLY_RELINEARIZE_RESCALE_BOUND;OBSERVED_VS_BOUND_AUDIT_NOT_RUN,sha256:740a4d4260cd7aba80c7627f7c0e7d6448cebdf54c266181b7bb780368f53063
confirmatory_seeds1_4,split_seed_1/mnist_pool16/mlp_square_linear_score,mnist_pool16,mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_50bd4edef1ef,rescale,sha256:ed4b627b7562ca17fda7f172438fe71a75d5edc7aec561bc87efd1f3b264523a,PASS,False,False,False,NOT_RUN_NO_BOUND,BLOCKED,MODEL_OPERATION_GRAPH_NOT_IMPLEMENTED_IN_ANALYTICAL_V2;NO_SCOPED_ABSOLUTE_INPUT_ENCRYPTION_BOUND;NO_SCOPED_ABSOLUTE_PLAINTEXT_ENCODING_BOUND;NO_SCOPED_ABSOLUTE_MULTIPLY_RELINEARIZE_RESCALE_BOUND;OBSERVED_VS_BOUND_AUDIT_NOT_RUN,sha256:e00b4e2ccba347033fb944fa5d10803d7c7fc02ced9a6917fad767b01a85d593
confirmatory_seeds1_4,split_seed_1/wdbc/linear_poly3,wdbc,linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_33a9db1442a2,rescale,sha256:f2d4744dadb69cbde1b3ac77f095d7a22a176d692d43145710e785fcf8649547,PASS,True,False,False,NOT_RUN_NO_BOUND,BLOCKED,NO_SCOPED_ABSOLUTE_INPUT_ENCRYPTION_BOUND;NO_SCOPED_ABSOLUTE_PLAINTEXT_ENCODING_BOUND;NO_SCOPED_ABSOLUTE_MULTIPLY_RELINEARIZE_RESCALE_BOUND;OBSERVED_VS_BOUND_AUDIT_NOT_RUN,sha256:f83ebd8482eb1112d86d2896edb8fc06a5b8686393bc641db54455baef85e621
confirmatory_seeds1_4,split_seed_1/wdbc/mlp_square_linear_score,wdbc,mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_c1382206c90a,rescale,sha256:ed4b627b7562ca17fda7f172438fe71a75d5edc7aec561bc87efd1f3b264523a,PASS,False,False,False,NOT_RUN_NO_BOUND,BLOCKED,MODEL_OPERATION_GRAPH_NOT_IMPLEMENTED_IN_ANALYTICAL_V2;NO_SCOPED_ABSOLUTE_INPUT_ENCRYPTION_BOUND;NO_SCOPED_ABSOLUTE_PLAINTEXT_ENCODING_BOUND;NO_SCOPED_ABSOLUTE_MULTIPLY_RELINEARIZE_RESCALE_BOUND;OBSERVED_VS_BOUND_AUDIT_NOT_RUN,sha256:3358efc7ee46ef58976710d91d618e8be892b5db6dd8d92d86c45747c5850452
