record_kind,candidate_source,candidate_id,profile,path,split_seed,dataset_id,model_id,log_n,log_q_primes,log_p_primes,log_q,log_p,log_qp,actual_log_q,actual_log_p,actual_log_qp,actual_q_primes,actual_p_primes,xs,xe,old_policy_id,old_limit,old_headroom,old_admission,v2_policy_id,v2_limit,ciphertext_q_admission,evaluation_key_qp_admission,v2_headroom,v2_admission,exact_estimator_status,identity_changed,excluded_from_bounded_oracle,encrypted_rerun_required,reason
direct_selected,direct,synth_repair_scale_1_rescale_N13_Q7_S24_940085e2ae5c,,rescale,,banknote,linear_poly3,13,"[27,24,24,24,24,24,24]",[30],171,30,201,170.967202201,29.9999339585,200.967136159,"[134250497,16760833,16957441,16580609,17006593,16515073,16465921]",[1073692673],ring.Ternary:{0.6666666666666666 0},ring.DiscreteGaussian:{3.2 19.2},he_security_guidelines_2024_ternary_classical_128,217,16,PASS,security_guidelines_cic2025_table5_2_ternary_128_v2,214,PASS,PASS,13,PASS,NOT_RUN_INPUT_EXPORTED,false,false,false,static replay only; literal identity unchanged; Q and QP pass
direct_selected,direct,synth_analysis_minimum_rescale_N13_Q6_S20_3d287ebd064d,,rescale,,banknote,mlp_square_linear_score,13,"[23,20,20,20,20,20]",[30],123,30,153,123.453923245,29.9999339585,153.453857204,"[8404993,1032193,1097729,1130497,1146881,1179649]",[1073692673],ring.Ternary:{0.6666666666666666 0},ring.DiscreteGaussian:{3.2 19.2},he_security_guidelines_2024_ternary_classical_128,217,64,PASS,security_guidelines_cic2025_table5_2_ternary_128_v2,214,PASS,PASS,61,PASS,NOT_RUN_INPUT_EXPORTED,false,false,false,static replay only; literal identity unchanged; Q and QP pass
direct_selected,direct,synth_repair_scale_1_rescale_N13_Q7_S24_c6ed1f915412,,rescale,,digits_binary,linear_poly3,13,"[27,24,24,24,24,24,24]",[30],171,30,201,170.967202201,29.9999339585,200.967136159,"[134250497,16760833,16957441,16580609,17006593,16515073,16465921]",[1073692673],ring.Ternary:{0.6666666666666666 0},ring.DiscreteGaussian:{3.2 19.2},he_security_guidelines_2024_ternary_classical_128,217,16,PASS,security_guidelines_cic2025_table5_2_ternary_128_v2,214,PASS,PASS,13,PASS,NOT_RUN_INPUT_EXPORTED,false,false,false,static replay only; literal identity unchanged; Q and QP pass
direct_selected,direct,synth_analysis_minimum_rescale_N13_Q6_S20_60e1d89bca4f,,rescale,,digits_binary,mlp_square_linear_score,13,"[23,20,20,20,20,20]",[30],123,30,153,123.453923245,29.9999339585,153.453857204,"[8404993,1032193,1097729,1130497,1146881,1179649]",[1073692673],ring.Ternary:{0.6666666666666666 0},ring.DiscreteGaussian:{3.2 19.2},he_security_guidelines_2024_ternary_classical_128,217,64,PASS,security_guidelines_cic2025_table5_2_ternary_128_v2,214,PASS,PASS,61,PASS,NOT_RUN_INPUT_EXPORTED,false,false,false,static replay only; literal identity unchanged; Q and QP pass
direct_selected,direct,synth_analysis_minimum_rescale_N13_Q7_S20_6cfedb1337de,,rescale,,iris_binary,linear_poly3,13,"[23,20,20,20,20,20,20]",[30],143,30,173,143.643749011,29.9999339585,173.643682969,"[8404993,1032193,1097729,1130497,1146881,1179649,1196033]",[1073692673],ring.Ternary:{0.6666666666666666 0},ring.DiscreteGaussian:{3.2 19.2},he_security_guidelines_2024_ternary_classical_128,217,44,PASS,security_guidelines_cic2025_table5_2_ternary_128_v2,214,PASS,PASS,41,PASS,NOT_RUN_INPUT_EXPORTED,false,false,false,static replay only; literal identity unchanged; Q and QP pass
direct_selected,direct,synth_analysis_minimum_rescale_N13_Q6_S20_eda7715b34f1,,rescale,,iris_binary,mlp_square_linear_score,13,"[23,20,20,20,20,20]",[30],123,30,153,123.453923245,29.9999339585,153.453857204,"[8404993,1032193,1097729,1130497,1146881,1179649]",[1073692673],ring.Ternary:{0.6666666666666666 0},ring.DiscreteGaussian:{3.2 19.2},he_security_guidelines_2024_ternary_classical_128,217,64,PASS,security_guidelines_cic2025_table5_2_ternary_128_v2,214,PASS,PASS,61,PASS,NOT_RUN_INPUT_EXPORTED,false,false,false,static replay only; literal identity unchanged; Q and QP pass
direct_selected,direct,synth_repair_scale_1_rescale_N13_Q7_S24_3278ebe978f2,,rescale,,mnist_pool16,linear_poly3,13,"[27,24,24,24,24,24,24]",[30],171,30,201,170.967202201,29.9999339585,200.967136159,"[134250497,16760833,16957441,16580609,17006593,16515073,16465921]",[1073692673],ring.Ternary:{0.6666666666666666 0},ring.DiscreteGaussian:{3.2 19.2},he_security_guidelines_2024_ternary_classical_128,217,16,PASS,security_guidelines_cic2025_table5_2_ternary_128_v2,214,PASS,PASS,13,PASS,NOT_RUN_INPUT_EXPORTED,false,false,false,static replay only; literal identity unchanged; Q and QP pass
direct_selected,direct,synth_analysis_minimum_rescale_N13_Q6_S20_a9a3b0081a20,,rescale,,mnist_pool16,mlp_square_linear_score,13,"[23,20,20,20,20,20]",[30],123,30,153,123.453923245,29.9999339585,153.453857204,"[8404993,1032193,1097729,1130497,1146881,1179649]",[1073692673],ring.Ternary:{0.6666666666666666 0},ring.DiscreteGaussian:{3.2 19.2},he_security_guidelines_2024_ternary_classical_128,217,64,PASS,security_guidelines_cic2025_table5_2_ternary_128_v2,214,PASS,PASS,61,PASS,NOT_RUN_INPUT_EXPORTED,false,false,false,static replay only; literal identity unchanged; Q and QP pass
direct_selected,direct,synth_repair_scale_1_rescale_N13_Q7_S24_d83530e1c9c4,,rescale,,wdbc,linear_poly3,13,"[27,24,24,24,24,24,24]",[30],171,30,201,170.967202201,29.9999339585,200.967136159,"[134250497,16760833,16957441,16580609,17006593,16515073,16465921]",[1073692673],ring.Ternary:{0.6666666666666666 0},ring.DiscreteGaussian:{3.2 19.2},he_security_guidelines_2024_ternary_classical_128,217,16,PASS,security_guidelines_cic2025_table5_2_ternary_128_v2,214,PASS,PASS,13,PASS,NOT_RUN_INPUT_EXPORTED,false,false,false,static replay only; literal identity unchanged; Q and QP pass
direct_selected,direct,synth_analysis_minimum_rescale_N13_Q6_S20_6d755fca5e14,,rescale,,wdbc,mlp_square_linear_score,13,"[23,20,20,20,20,20]",[30],123,30,153,123.453923245,29.9999339585,153.453857204,"[8404993,1032193,1097729,1130497,1146881,1179649]",[1073692673],ring.Ternary:{0.6666666666666666 0},ring.DiscreteGaussian:{3.2 19.2},he_security_guidelines_2024_ternary_classical_128,217,64,PASS,security_guidelines_cic2025_table5_2_ternary_128_v2,214,PASS,PASS,61,PASS,NOT_RUN_INPUT_EXPORTED,false,false,false,static replay only; literal identity unchanged; Q and QP pass
