tool,Sobel,Harris,MLP-100,LeNet-5-small,deeper_bootstrapping_workload,freeze_note
EVA,SEMANTICALLY_MAPPABLE,SEMANTICALLY_MAPPABLE,SEMANTICALLY_MAPPABLE,SEMANTICALLY_MAPPABLE,PLAN_UNSUPPORTED,"General vector IR; exact packing and schedule adapter required"
HECATE,SEMANTICALLY_MAPPABLE,SEMANTICALLY_MAPPABLE,SEMANTICALLY_MAPPABLE,SEMANTICALLY_MAPPABLE,PLAN_UNSUPPORTED,"Paper includes these graph families, but common weights/input/layout require an adapter"
ELASM,SEMANTICALLY_MAPPABLE,SEMANTICALLY_MAPPABLE,SEMANTICALLY_MAPPABLE,SEMANTICALLY_MAPPABLE,PLAN_UNSUPPORTED,"Same graph families as HECATE; exact error objective differs"
HEILP,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,"Official executable artifact not verified before freeze"
HEIR,SEMANTICALLY_MAPPABLE,SEMANTICALLY_MAPPABLE,SEMANTICALLY_MAPPABLE,SEMANTICALLY_MAPPABLE,PLAN_UNSUPPORTED,"MLIR/Python compilation can express the graphs; exact CKKS lowering must be verified"
HECO,SEMANTICALLY_MAPPABLE,SEMANTICALLY_MAPPABLE,SEMANTICALLY_MAPPABLE,DIFFERENT_MODEL,PLAN_UNSUPPORTED,"Imperative CKKS compiler; no frozen LeNet adapter"
ANT-ACE,DIFFERENT_MODEL,DIFFERENT_MODEL,SEMANTICALLY_MAPPABLE,SEMANTICALLY_MAPPABLE,PLAN_UNSUPPORTED,"ONNX neural-network frontend; image operators are not native workloads"
Orion,DIFFERENT_MODEL,DIFFERENT_MODEL,SEMANTICALLY_MAPPABLE,SEMANTICALLY_MAPPABLE,PLAN_UNSUPPORTED,"PyTorch neural-inference frontend"
LOHEN,DIFFERENT_MODEL,DIFFERENT_MODEL,DIFFERENT_MODEL,DIFFERENT_MODEL,ARTIFACT_UNAVAILABLE,"Layer-wise configuration experiments use different CNNs and no official artifact was verified"
AutoFHE,DIFFERENT_MODEL,DIFFERENT_MODEL,DIFFERENT_MODEL,DIFFERENT_MODEL,PLAN_UNSUPPORTED,"Adapts ReLU CNNs and training/activation architecture; frozen square models must not be changed"
SLOTHE,DIFFERENT_MODEL,DIFFERENT_MODEL,DIFFERENT_MODEL,DIFFERENT_MODEL,PLAN_UNSUPPORTED,"Optimizes non-arithmetic functions; frozen workloads already use polynomial arithmetic"
DaCapo,NO_BOOTSTRAP_NOT_APPLICABLE,NO_BOOTSTRAP_NOT_APPLICABLE,NO_BOOTSTRAP_NOT_APPLICABLE,NO_BOOTSTRAP_NOT_APPLICABLE,PLAN_UNSUPPORTED,"All four frozen workloads are leveled executions"
HALO,NO_BOOTSTRAP_NOT_APPLICABLE,NO_BOOTSTRAP_NOT_APPLICABLE,NO_BOOTSTRAP_NOT_APPLICABLE,NO_BOOTSTRAP_NOT_APPLICABLE,PLAN_UNSUPPORTED,"Requires loop-aware bootstrapping workload"
ReSBM,NO_BOOTSTRAP_NOT_APPLICABLE,NO_BOOTSTRAP_NOT_APPLICABLE,NO_BOOTSTRAP_NOT_APPLICABLE,NO_BOOTSTRAP_NOT_APPLICABLE,PLAN_UNSUPPORTED,"Requires a bootstrap-requiring graph"
Orbit,NO_BOOTSTRAP_NOT_APPLICABLE,NO_BOOTSTRAP_NOT_APPLICABLE,NO_BOOTSTRAP_NOT_APPLICABLE,NO_BOOTSTRAP_NOT_APPLICABLE,ARTIFACT_UNAVAILABLE,"Joint rescale/bootstrap system; no official executable artifact verified"
FlipGuard,EXACT_NATIVE,EXACT_NATIVE,EXACT_NATIVE,EXACT_NATIVE,PLAN_UNSUPPORTED,"Frozen FlipGuard contracts and existing evidence"
