provider,system,workload,evidence_level,source_commit,clean_build_runs,compiler_runs,plans_generated,plans_executed,encrypted_candidate_runs,unique_inputs,validation_samples,audit_samples,contexts_keysets,context_count_reason,measurement_passes,raw_output_rows,build_wall_clock_seconds,compile_wall_clock_seconds,tuning_wall_clock_seconds,inference_wall_clock_seconds,pipeline_wall_clock_seconds,total_elapsed_seconds,validation_flips,audit_flips,gate_state,security_state,portability_state,final_selection_state
eva,EVA,eva_official_baboon_sobel_harris_v1;shared_polynomial_v1,6,4cd3254c9c51340ae30c451495ce5378135758c0,2,2,NOT_APPLICABLE,NOT_APPLICABLE,18,31,14,16,18,official image 2 programs x3 contexts plus shared validation 3 arms x3 and locked audit x3,1,24750,177.13239729299994,0.0037046710000000005,NOT_SEPARATELY_RECORDED,0.524268940952381,35.58588008299921,212.71827737599915,21,0,SAFE_AUDIT_PASS,SECURITY_TARGET_MATCH_ASSUMPTIONS_DIFFER,NATIVE_ONLY,DECISION_BEARING_LOCKED_AUDIT
corelab,ELASM,official_LinearRegression,3,3c37c11b29ca480525bb6681e0254bdf90029425,2,2,72,72,70,1,NOT_EVALUATED,NOT_EVALUATED,72,"fresh context generated per frozen plan, including two evaluation failures",1,70,521.713894768001,1540.8177660200001,NOT_SEPARATELY_RECORDED,64.255209866,2564.1062282159996,3085.8201229840006,0,0,NOT_EVALUATED,SECURITY_NOT_EVALUATED,NATIVE_ONLY,ENCRYPTED_END_TO_END_PARTIAL_GRID
corelab,HECATE,NOT_EVALUATED,1,NOT_REPORTED,2,2,NOT_APPLICABLE,NOT_APPLICABLE,0,0,NOT_EVALUATED,NOT_EVALUATED,NOT_REPORTED,NOT_SEPARATELY_RECORDED,NOT_SEPARATELY_RECORDED,0,521.713894768001,NOT_SEPARATELY_RECORDED,NOT_SEPARATELY_RECORDED,NOT_SEPARATELY_RECORDED,2564.1062282159996,3085.8201229840006,0,0,NOT_EVALUATED,SECURITY_NOT_EVALUATED,NOT_EVALUATED,CLEAN_BUILD_PASS_RUNTIME_PREPARATION_FAILED
heir,HEIR,official_dot_product_8f,3,cb7a7a30bb4d995b50e33bb5cd82ff7434db3656,0,2,NOT_APPLICABLE,NOT_APPLICABLE,4,1,NOT_EVALUATED,NOT_EVALUATED,4,one official context per runtime execution; original and output-capture executions are separate,1,1,0,NOT_SEPARATELY_RECORDED,NOT_SEPARATELY_RECORDED,NOT_SEPARATELY_RECORDED,4593.542839001,4593.542839001,0,0,NOT_EVALUATED,SECURITY_NOT_EVALUATED,NATIVE_ONLY,ENCRYPTED_END_TO_END_RAW_OUTPUT
heco,HECO,official_benchmark,2,cf396f05029930b6476c10266853b2099e23bd32,1,2,NOT_APPLICABLE,NOT_APPLICABLE,0,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_REPORTED,NOT_SEPARATELY_RECORDED,NOT_SEPARATELY_RECORDED,0,103.15642070099966,NOT_SEPARATELY_RECORDED,NOT_SEPARATELY_RECORDED,NOT_SEPARATELY_RECORDED,316.6494687180002,419.80588941899987,0,0,NOT_EVALUATED,SECURITY_NOT_EVALUATED,NATIVE_ONLY,OFFICIAL_PIPELINE_ONLY_DIFFERENT_SCHEME
orion,Orion,NOT_EVALUATED,0,NOT_REPORTED,0,0,NOT_APPLICABLE,NOT_APPLICABLE,0,0,NOT_EVALUATED,NOT_EVALUATED,NOT_REPORTED,NOT_SEPARATELY_RECORDED,NOT_SEPARATELY_RECORDED,0,0,NOT_SEPARATELY_RECORDED,NOT_SEPARATELY_RECORDED,NOT_SEPARATELY_RECORDED,0,0,0,0,NOT_EVALUATED,SECURITY_NOT_EVALUATED,NOT_EVALUATED,ENVIRONMENT_CREATE_BLOCKED
ant-ace,ANT-ACE,NOT_EVALUATED,0,NOT_REPORTED,0,0,NOT_APPLICABLE,NOT_APPLICABLE,0,0,NOT_EVALUATED,NOT_EVALUATED,NOT_REPORTED,NOT_SEPARATELY_RECORDED,NOT_SEPARATELY_RECORDED,0,0,NOT_SEPARATELY_RECORDED,NOT_SEPARATELY_RECORDED,NOT_SEPARATELY_RECORDED,0,0,0,0,NOT_EVALUATED,SECURITY_NOT_EVALUATED,NOT_EVALUATED,LICENSE_BLOCKED
autofhe,AutoFHE,NOT_EVALUATED,0,NOT_REPORTED,0,0,NOT_APPLICABLE,NOT_APPLICABLE,0,0,NOT_EVALUATED,NOT_EVALUATED,NOT_REPORTED,NOT_SEPARATELY_RECORDED,NOT_SEPARATELY_RECORDED,0,0,NOT_SEPARATELY_RECORDED,NOT_SEPARATELY_RECORDED,NOT_SEPARATELY_RECORDED,0,0,0,0,NOT_EVALUATED,SECURITY_NOT_EVALUATED,NOT_EVALUATED,HARDWARE_BLOCKED_NO_GPU
dacapo,DaCapo,NOT_EVALUATED,0,NOT_REPORTED,0,0,NOT_APPLICABLE,NOT_APPLICABLE,0,0,NOT_EVALUATED,NOT_EVALUATED,NOT_REPORTED,NOT_SEPARATELY_RECORDED,NOT_SEPARATELY_RECORDED,0,0,NOT_SEPARATELY_RECORDED,NOT_SEPARATELY_RECORDED,NOT_SEPARATELY_RECORDED,0,0,0,0,NOT_EVALUATED,SECURITY_NOT_EVALUATED,NOT_EVALUATED,HARDWARE_BLOCKED_NO_GPU
lohen,LOHEN,NOT_EVALUATED,0,NOT_REPORTED,0,0,NOT_APPLICABLE,NOT_APPLICABLE,0,0,NOT_EVALUATED,NOT_EVALUATED,NOT_REPORTED,NOT_SEPARATELY_RECORDED,NOT_SEPARATELY_RECORDED,0,0,NOT_SEPARATELY_RECORDED,NOT_SEPARATELY_RECORDED,NOT_SEPARATELY_RECORDED,0,0,0,0,NOT_EVALUATED,SECURITY_NOT_EVALUATED,NOT_EVALUATED,NO_EXECUTABLE_ARTIFACT
