provider,run_id,stage,failure_class,exit_code,reason_code,scientific_result_preserved,retry_changed_semantics,manifest_path
corelab,0005-elasm-grid,ENCRYPTED_VALIDATION,RECOVERABLE_IMPLEMENTATION_FAILURE,137,MISSING_NUMPY_AND_EXIT_137,True,False,external/v7/status/corelab/0005-elasm-grid/run_manifest.json
corelab,0010-hecate-runtime,ENVIRONMENT_CREATE,RECOVERABLE_IMPLEMENTATION_FAILURE,128,PROMISOR_REMOTE_LAZY_FETCH_FAILED_DURING_RUNTIME_CLONE,True,False,external/v7/status/corelab/0010-hecate-runtime/run_manifest.json
eva,0003-clean-build,CLEAN_BUILD,RECOVERABLE_IMPLEMENTATION_FAILURE,1,PINNED_PYBIND11_SUBMODULE_NOT_INITIALIZED,True,False,external/v7/status/eva/0003-clean-build/run_manifest.json
heco,0005-output-freeze,OUTPUT_NORMALIZATION,RECOVERABLE_IMPLEMENTATION_FAILURE,1,OUTPUT_ROOT_PERMISSION_DENIED,True,False,external/v7/status/heco/0005-output-freeze/run_manifest.json
heir,0003-output-freeze,OUTPUT_NORMALIZATION,RECOVERABLE_IMPLEMENTATION_FAILURE,1,OUTPUT_ROOT_PERMISSION_DENIED,True,False,external/v7/status/heir/0003-output-freeze/run_manifest.json
orion,0002-clean-environment,ENVIRONMENT_CREATE,RECOVERABLE_IMPLEMENTATION_FAILURE,2,MISSING_DECLARED_POETRY_CORE_BUILD_BACKEND,True,False,external/v7/status/orion/0002-clean-environment/run_manifest.json
orion,0002b-environment-recovery1,ENVIRONMENT_CREATE,RECOVERABLE_IMPLEMENTATION_FAILURE,1,INVALID_POETRY_PACKAGE_METADATA_FOR_EDITABLE_INSTALL,True,False,external/v7/status/orion/0002b-environment-recovery1/run_manifest.json
corelab,0005-elasm-grid-retry1,ENCRYPTED_VALIDATION,HARD_RESOURCE_STOP,SIGNAL_15,HARD_RESOURCE_STOP_EPHEMERAL_KEY_CONTEXT_ACCUMULATION,True,False,NOT_APPLICABLE
corelab,elasm_36,ENCRYPTED_PLAN_EXECUTION,SCIENTIFIC_PLAN_EXECUTION_FAILURE,-6,  what():  encrypted_ntt and plain_ntt parameter mismatch,True,NOT_APPLICABLE,external/v7/outputs/corelab/elasm-linear-regression-grid-v1/elasm_36
corelab,elasm_41,ENCRYPTED_PLAN_EXECUTION,SCIENTIFIC_PLAN_EXECUTION_FAILURE,-6,  what():  result ciphertext is transparent,True,NOT_APPLICABLE,external/v7/outputs/corelab/elasm-linear-regression-grid-v1/elasm_41
ant-ace,terminal-state-v1,PROVIDER_FINALIZE,LICENSE_BLOCKED,NOT_APPLICABLE,Pinned official artifact declares no software license; execution cannot be redistributed or promoted.,True,NOT_APPLICABLE,external/v7/outputs/ant-ace/terminal-state-v1/manifest.json
autofhe,terminal-state-v1,PROVIDER_FINALIZE,HARDWARE_BLOCKED_NO_GPU,NOT_APPLICABLE,Official search and encrypted inference path requires CUDA; this host exposes no supported GPU and no official CPU path.,True,NOT_APPLICABLE,external/v7/outputs/autofhe/terminal-state-v1/manifest.json
dacapo,terminal-state-v1,PROVIDER_FINALIZE,HARDWARE_BLOCKED_NO_GPU,NOT_APPLICABLE,Official bootstrap workflow requires a supported CUDA device; none is visible on this host.,True,NOT_APPLICABLE,external/v7/outputs/dacapo/terminal-state-v1/manifest.json
fhe-agent,terminal-state-v1,PROVIDER_FINALIZE,NO_EXECUTABLE_ARTIFACT,NOT_APPLICABLE,No official executable repository was verified; paper/preprint metadata alone is not an executable artifact.,True,NOT_APPLICABLE,external/v7/outputs/fhe-agent/terminal-state-v1/manifest.json
fhecrafter,terminal-state-v1,PROVIDER_FINALIZE,NO_EXECUTABLE_ARTIFACT,NOT_APPLICABLE,Only official DOI metadata was verified; no executable artifact is available.,True,NOT_APPLICABLE,external/v7/outputs/fhecrafter/terminal-state-v1/manifest.json
heaan-mlir,terminal-state-v1,PROVIDER_FINALIZE,NO_EXECUTABLE_ARTIFACT,NOT_APPLICABLE,No separate official executable artifact was verified in the frozen landscape audit.,True,NOT_APPLICABLE,external/v7/outputs/heaan-mlir/terminal-state-v1/manifest.json
heilp,terminal-state-v1,PROVIDER_FINALIZE,NO_EXECUTABLE_ARTIFACT,NOT_APPLICABLE,No official executable artifact was verified in the frozen landscape audit.,True,NOT_APPLICABLE,external/v7/outputs/heilp/terminal-state-v1/manifest.json
lohen,terminal-state-v1,PROVIDER_FINALIZE,NO_EXECUTABLE_ARTIFACT,NOT_APPLICABLE,No official source repository or executable artifact was verified in the frozen landscape audit.,True,NOT_APPLICABLE,external/v7/outputs/lohen/terminal-state-v1/manifest.json
orbit,terminal-state-v1,PROVIDER_FINALIZE,NO_EXECUTABLE_ARTIFACT,NOT_APPLICABLE,No public official executable artifact was verified in the frozen landscape audit.,True,NOT_APPLICABLE,external/v7/outputs/orbit/terminal-state-v1/manifest.json
resbm,terminal-state-v1,PROVIDER_FINALIZE,LICENSE_BLOCKED,NOT_APPLICABLE,"Implementation is integrated into the ANT-ACE repository after the pinned CGO artifact, which declares no software license.",True,NOT_APPLICABLE,external/v7/outputs/resbm/terminal-state-v1/manifest.json
slothe,terminal-state-v1,PROVIDER_FINALIZE,LICENSE_BLOCKED,NOT_APPLICABLE,Pinned repository contains no declared software license; no experimental build is promoted.,True,NOT_APPLICABLE,external/v7/outputs/slothe/terminal-state-v1/manifest.json
