citation_key,title,authors,venue,year,DOI/ePrint/official URL,primary_source_verified,cited_section,exact_supported_point,unsupported_extension,status
cheon2017ckks,Homomorphic Encryption for Arithmetic of Approximate Numbers,Cheon; Kim; Kim; Song,ASIACRYPT,2017,https://eprint.iacr.org/2016/421,true,02_background,CKKS supports approximate encrypted arithmetic with rescaling and packing,Any claim that approximation error is universally bounded without instantiated parameters,VERIFIED
dathathri2019chet,CHET: An Optimizing Compiler for Fully-Homomorphic Neural-Network Inferencing,Dathathri et al.,PLDI,2019,https://doi.org/10.1145/3314221.3314628,true,03_related_work,Compiler analysis selects encryption parameters and data layouts for encrypted neural-network inference,CHET evaluates FlipGuard's decision-integrity contract,VERIFIED
dathathri2020eva,EVA: An Encrypted Vector Arithmetic Language and Compiler for Efficient Homomorphic Computation,Dathathri et al.,PLDI,2020,https://doi.org/10.1145/3385412.3386023,true,03_related_work,EVA exposes encrypted vector arithmetic and an optimizing compiler that inserts scheme operations and selects parameters,EVA provides no correctness treatment of any kind,VERIFIED
lee2022hecate,HECATE: Performance-Aware Scale Optimization for Homomorphic Encryption Compiler,Lee et al.,CGO,2022,https://doi.org/10.1109/CGO53902.2022.9741265,true,03_related_work,HECATE addresses performance-aware scale optimization in an HE compiler,HECATE never considers accuracy or application behavior,VERIFIED
lee2023elasm,ELASM: Error-Latency-Aware Scale Management for Fully Homomorphic Encryption,Lee et al.,USENIX Security,2023,https://www.usenix.org/conference/usenixsecurity23/presentation/lee-yongwoo,true,03_related_work,ELASM jointly treats output error and latency through scale management,ELASM is a final threshold-decision admission and locked-audit system,VERIFIED
viand2023heco,HECO: Fully Homomorphic Encryption Compiler,Viand et al.,USENIX Security,2023,https://www.usenix.org/conference/usenixsecurity23/presentation/viand,true,03_related_work,HECO is a general-purpose FHE compiler with program transformations and scheme-aware lowering,HECO establishes FlipGuard's finite decision certificate,VERIFIED
cheon2024dacapo,DaCapo: Automatic Bootstrapping Management for Efficient Fully Homomorphic Encryption,Cheon et al.,USENIX Security,2024,https://www.usenix.org/conference/usenixsecurity24/presentation/cheon,true,03_related_work,DaCapo selects bootstrapping placement using scale management and latency estimation,DaCapo searches all CKKS configurations globally,VERIFIED
lou2020autoprivacy,AutoPrivacy: Automated Layer-wise Parameter Selection for Secure Neural Network Inference,Lou; Bian; Jiang,NeurIPS,2020,https://papers.nips.cc/paper_files/paper/2020/hash/6244b2ba957c48bc64582cf2bcec3d04-Abstract.html,true,03_related_work,AutoPrivacy uses learning-based layer-wise HE parameter selection for hybrid private inference,Its accuracy constraint is identical to FlipGuard's per-sample decision-margin gate,VERIFIED
ao2023autofhe,AutoFHE: Automated Adaption of CNNs for Efficient Evaluation over FHE,Ao; Boddeti,IACR ePrint,2023,https://eprint.iacr.org/2023/162,true,03_related_work,AutoFHE searches polynomial CNN designs and bootstrapping placement under accuracy-latency objectives,AutoFHE is a literal-level CKKS decision certificate,VERIFIED
xu2025fheagent,FHE-Agent: Automating CKKS Configuration for Practical Encrypted Inference via an LLM-Guided Agentic Framework,Xu et al.,arXiv preprint,2025,https://arxiv.org/abs/2511.18653,true,03_related_work,FHE-Agent combines an LLM agent with deterministic tools for CKKS configuration pruning calibration and repair,Peer-reviewed publication or universal success,VERIFIED_PREPRINT
alexandru2024applicationaware,Application-Aware Approximate Homomorphic Encryption: Configuring FHE for Practical Use,Alexandru et al.,IACR Communications in Cryptology,2026,https://eprint.iacr.org/2024/203,true,03_related_work,Application-aware definitions bind correctness and security reasoning to declared circuits and input domains,Its formal application-aware definition directly proves FlipGuard's empirical finite-set admission,VERIFIED
bossuat2025security,Security Guidelines for Implementing Homomorphic Encryption,Bossuat et al. (18 authors),IACR Communications in Cryptology,2025,https://doi.org/10.62056/anxra69p1,true,02_background;10_reproducibility_security,Published Table 5.2 supplies conservative Category-128 uniform-ternary modulus caps,Exact equality between the table distribution and Lattigo's truncated Xe distribution,VERIFIED
martin2001bsds,A Database of Human Segmented Natural Images and its Application to Evaluating Segmentation Algorithms and Measuring Ecological Statistics,Martin et al.,ICCV,2001,IEEE ICCV proceedings,true,07_evaluation_methodology,BSDS supplies natural images used by the scoped Sobel and Harris adapters,Full-image task accuracy or arbitrary image-processing generalization,VERIFIED
lecun1998gradient,Gradient-Based Learning Applied to Document Recognition,LeCun et al.,Proceedings of the IEEE,1998,https://doi.org/10.1109/5.726791,true,07_evaluation_methodology,MNIST is the source dataset for the scoped CNN-lite binary task,Packed CNN or general LeNet support,VERIFIED
