system,set,artifact_revision,attempts,status,reproduced,container_or_environment,command_class,last_error,dependency,official_environment_difference,reason_code,algorithm_semantics_changed,log_sha256,notes
CHET,LANDSCAPE_ONLY,NR,0,RELATED_WORK_ONLY,False,NOT_APPLICABLE,OFFICIAL_SOURCE_AUDIT,No separate official executable repository was verified.,NR,No official artifact environment is available.,ARTIFACT_UNAVAILABLE,False,NR,Later CHET-on-EVA examples are not substituted for the original CHET artifact.
EVA,REQUIRED_REPRODUCTION,v1.0.1@4cd3254c9c51340ae30c451495ce5378135758c0,2,PASS,True,Ubuntu container; official recursive source; Microsoft SEAL 3.6.4,OFFICIAL_COMPILER_BUILD_AND_EXISTING_NATIVE_RUNTIME_REPLAY,,CMake; pybind11 submodule; SEAL 3.6.4; Python extension,Attempt 1 used a non-recursive checkout; attempt 2 restored the official submodule closure.,PASS_BUILD_AND_SCOPED_NATIVE_REPLAY,False,sha256:d6d454a7f491ca13852cf0d008a3996eeec2ea3040c9a186fb6097024ab28c9d;sha256:a20f7dc40607cc37b4ffe6d5d41505fdf5ec8f2868395dc20e1f4ddd2ee31976,"The compiler and generated Python extension built. A post-build harness path selected source python instead of build/python, but existing frozen official-revision native replay supplies the scoped end-to-end result. No frozen current workload is PORTABLE_EXACT."
HECO,CONDITIONAL_REPRODUCTION,artifact@cf396f05029930b6476c10266853b2099e23bd32,3,PASS,True,Ubuntu 22.04; MLIR/LLVM 17.0.6; Microsoft SEAL 4.0.0; single-job Ninja,OFFICIAL_COMPILER_BUILD_AND_HELP_SMOKE,,MLIR/LLVM; SEAL 4.0.0; CMake; Ninja,The pinned artifact submodule dates to the LLVM 17 API window; LLVM 16 lacked OpaqueProperties and LLVM 18 removed mlir::emitc::CallOp.,PASS_BUILD_SMOKE_LLVM17,False,sha256:11714c6361051db3f2306623632c2093fd1eef082e31189ee07864ee46146a87;sha256:67fdd7b3fb36d259e6d369d6c61e6e79a08f1b611d105fcc3b2eeb38805a53f9;sha256:36a31d674abd936b77aea445887757f4d8341f6baba537cbf6495594a5e7d48c,Official compiler build completed 47/47 and heco --help passed; binary SHA-256 is 3f90379eea67517271a8a009ce12f1f70325e5e91874f07253c8bb26159afd41. No exact CKKS Q/P schedule was exported for the frozen workloads.
HEIR,REQUIRED_REPRODUCTION,v2026.08.01@cb7a7a30bb4d995b50e33bb5cd82ff7434db3656,3,REPRODUCTION_BLOCKED,False,Official heir_py 2026.8.1 wheel attempts in isolated Python environments,OFFICIAL_RELEASE_BINARY_AND_PYTHON_QUICKSTART,RuntimeError: Could not build development config. Did you run bazel?,heir_py; numba; OpenFHE extra; Bazel-generated development configuration,"The release binary loads, but the official Python quickstart requires generated development configuration not present in the wheel closure.",THREE_RECOVERIES_EXHAUSTED_PYTHON_CONFIG_MISSING,False,sha256:0cfc0121ed720efb9f29e198c492da38482c7cc8ac4acfdd87147e5c5bb4767e;sha256:dbf8fa946f9d26ab64c23d1e466032d9afde995e2f9c3dea0f75fc98fdf9fd01;sha256:d8aa1d1110a51d8c8ec784631ec1e218d7fff4df8df17a9ceec189be1244f57f,"Attempt 1 exposed missing numba, attempt 2 exposed the OpenFHE extra, and attempt 3 reached the missing Bazel development configuration. The partial binary load is not counted as reproduced."
ANT-ACE,REQUIRED_REPRODUCTION,cgo2025-artifacts@15c95a7346d89355d68d5bf4fe8ab3b952740e1a,1,PASS,True,Official opencc/ace image digest captured before local cleanup,OFFICIAL_COMPILER_BUILD_AND_HELP_SMOKE,,Official ACE container and compiler source,The audit host has 2 CPUs and about 15 GiB RAM versus the artifact's documented at-least-400-GB full-evaluation environment.,PASS_COMPILER_BUILD_SMOKE_HIGH_RESOURCE_BENCHMARK_NOT_RUN,False,sha256:c7cde1d30fe11765d24e495d3d61e53ab45966b818a4843e82eee7fe510fcaae,fhe_cmplr built and --help passed; binary SHA-256 is abafaee0d0d2387ddcf774c7a01c5a98e51ff7663cc71bb31c1f64ec5b28ceee. The different CIFAR/ResNet graph and resource requirement block exact workload reproduction.
HEaaN.MLIR,LANDSCAPE_ONLY,NR,0,RELATED_WORK_ONLY,False,NOT_APPLICABLE,OFFICIAL_SOURCE_AUDIT,No official public executable artifact was verified.,Proprietary/runtime-specific HEaaN stack,No reproducible public environment was available.,ARTIFACT_UNAVAILABLE,False,NR,Retained as a low-level compiler landscape system.
HECATE,REQUIRED_REPRODUCTION,post-publication-main@aedca73dac27b86044721781b9fca8d12e665876,3,REPRODUCTION_BLOCKED,False,Ubuntu 22.04; SEAL 4.0.0; MLIR 18; NVIDIA CUDA 12.2 toolkit,OFFICIAL_POST_PUBLICATION_COMPILER_BUILD,"LLVMExports.cmake references /usr/lib/llvm-18/lib/libLLVM-18.so.1, but the mixed binary package closure does not contain the target.",CUDA compiler; MLIR/LLVM; SEAL 4.0.0; HEonGPU optional in current snapshot,The current official Dockerfile uses a CUDA 12/13 development image and repository-head dependencies rather than a paper-tagged closure.,THREE_RECOVERIES_EXHAUSTED_BROKEN_MLIR_CUDA_ENVIRONMENT,False,sha256:e6d9a4cd136a50f62b42b28409068b6874d60428c83975546d9ffd4b8eb87f6b;sha256:c2aa53c5b755bcd8f6b961926f89d2fd9718092debea0f1eb797581f727842b6;sha256:bda99a15d6bf143d5a068f651a4c1cef713ba38622021f2d3c233926fe4c51af,Attempt 1 established the hard CUDA compiler requirement. Attempt 2 exposed a missing LLVM shared object through clang. Attempt 3 used GCC as the CUDA host compiler but CMake's imported LLVM target remained broken. A fourth source/environment mutation was not attempted.
ELASM,REQUIRED_REPRODUCTION,main@3c37c11b29ca480525bb6681e0254bdf90029425,1,PASS,True,Ubuntu 22.04; MLIR/LLVM 16.0.6; Microsoft SEAL 4.0.0,OFFICIAL_COMPILER_BUILD_AND_HELP_SMOKE,,MLIR/LLVM 16; SEAL 4.0.0; CMake; Ninja,Containerized equivalent of repository versions.txt dependencies.,PASS_BUILD_SMOKE,False,sha256:8a0393afe9ba52263d22911b28192116535fb6ec1b1a00bc343434525c8de7fd,Build completed 68/68 and hecate-opt --help passed; binary SHA-256 is 176f511640e79b8f3ac4a66bb5be95c1e71a61150b13267db756bbb325129a4d. No frozen-workload PORTABLE_EXACT schedule was established.
HEILP,CONDITIONAL_REPRODUCTION,NR,0,REPRODUCTION_BLOCKED,False,NOT_AVAILABLE,OFFICIAL_SOURCE_AUDIT,No official executable artifact was verified.,Paper-defined ILP compiler flow,No public artifact closure was available.,ARTIFACT_UNAVAILABLE,False,NR,Retained in scale-management related work and reported-result taxonomy only.
DaCapo,REQUIRED_REPRODUCTION,main@4616402710f39df3e5f5bd7930a6c036025aaac3,2,PASS,True,Ubuntu 22.04; MLIR/LLVM 18.1.8; Microsoft SEAL 4.0.0,OFFICIAL_COMPILER_BUILD_AND_HELP_SMOKE,,MLIR/LLVM; SEAL 4.0.0; CMake; Ninja,"Repository versions.txt still names LLVM 16, while current pinned source uses MLIR OpaqueProperties and builds with LLVM 18.",PASS_BUILD_SMOKE_LLVM18,False,sha256:fe4c13f232558ee21fc0d9101f197fe312ac0c248c9d7b50f1f121812544e74e;sha256:13d8299c1d7c60df3e14c58c08e9f9c7671b3655ade3ceda62a44654a075c904,"Build completed 77/77 and compiler help passed; binary SHA-256 is 788e3438403d6078d89bd9a3bc03d7091d071db4221d6fe04d21892a03f4d9d2. The frozen workloads require no bootstrapping, so performance comparison is not applicable."
HALO,CONDITIONAL_REPRODUCTION,post-publication-main@aedca73dac27b86044721781b9fca8d12e665876,0,NOT_APPLICABLE,False,NOT_RUN,APPLICABILITY_GATE,The four frozen common workloads contain no bootstrap operation.,Loop-aware bootstrapping compiler stack,No paper-tagged artifact closure was verified.,NOT_APPLICABLE_NO_BOOTSTRAP,False,NR,No artificial depth was added to manufacture applicability.
ReSBM,CONDITIONAL_REPRODUCTION,post-artifact-main@929e9b621f11bebbaa9ec1e215f4a52e3d07109b,0,NOT_APPLICABLE,False,NOT_RUN,APPLICABILITY_GATE,The four frozen common workloads contain no bootstrap operation.,ANT-ACE high-resource packed-CNN stack,Implementation was integrated after the CGO artifact and the repository declares no license.,NOT_APPLICABLE_NO_BOOTSTRAP,False,NR,Retained in the landscape; no full build was required after the predeclared applicability gate failed.
