schema_version,provider_id,provider_commit,runtime,workload_id,model_digest,graph_digest,input_id,input_digest,split_role,key_or_context_id,plaintext_output,decrypted_output,numerical_error,provider_prediction,plaintext_prediction,decision_flip,decision_quantity,reserve_policy_status,execution_status,security_metadata,compile_time_ms,tuning_time_ms,keygen_time_ms,evaluation_time_ms,total_time_ms,raw_output_digest
flipguard_provider_execution_record_v3,CHET,NR,NOT_APPLICABLE,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,OFFICIAL_NATIVE_DIAGNOSTIC,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NO_END_TO_END_RUN,NOT_EVALUATED,NOT_SEPARATELY_RECORDED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,OUTPUT_UNAVAILABLE
flipguard_provider_execution_record_v3,EVA,v1.0.1@4cd3254c9c51340ae30c451495ce5378135758c0,Ubuntu container; official recursive source; Microsoft SEAL 3.6.4,seed0 development linear_poly3 native replay,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,OFFICIAL_NATIVE_DIAGNOSTIC,NOT_EVALUATED,docs/evidence/eva_native_runtime_replay_v1/raw/validation_ledger.csv,docs/evidence/eva_native_runtime_replay_v1/raw/validation_ledger.csv,rms=0.938828235923549;max=1.78480477397315,NOT_EVALUATED,NOT_EVALUATED,11,NOT_EVALUATED,REJECTED,NATIVE_END_TO_END_PASS,NOT_EVALUATED_DIFFERENT_RUNTIME_DISTRIBUTION,NOT_SEPARATELY_RECORDED,NOT_EVALUATED,mean_ms=34.175032667; key_runs=3,mean_execute_ms_per_sample=22.222511714,mean_total_sample_ms=52.252991095,BOUND_BY_FROZEN_EVA_LEDGER
flipguard_provider_execution_record_v3,HECO,artifact@cf396f05029930b6476c10266853b2099e23bd32,Ubuntu 22.04; MLIR/LLVM 17.0.6; Microsoft SEAL 4.0.0; single-job Ninja,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,OFFICIAL_NATIVE_DIAGNOSTIC,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NO_END_TO_END_RUN,NOT_EVALUATED,NOT_SEPARATELY_RECORDED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,OUTPUT_UNAVAILABLE
flipguard_provider_execution_record_v3,HEIR,v2026.08.01@cb7a7a30bb4d995b50e33bb5cd82ff7434db3656,Official heir_py 2026.8.1 wheel attempts in isolated Python environments,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,OFFICIAL_NATIVE_DIAGNOSTIC,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NO_END_TO_END_RUN,NOT_EVALUATED,NOT_SEPARATELY_RECORDED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,OUTPUT_UNAVAILABLE
flipguard_provider_execution_record_v3,ANT-ACE,cgo2025-artifacts@15c95a7346d89355d68d5bf4fe8ab3b952740e1a,Official opencc/ace image digest captured before local cleanup,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,OFFICIAL_NATIVE_DIAGNOSTIC,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NO_END_TO_END_RUN,NOT_EVALUATED,NOT_SEPARATELY_RECORDED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,OUTPUT_UNAVAILABLE
flipguard_provider_execution_record_v3,HEaaN.MLIR,NR,NOT_APPLICABLE,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,OFFICIAL_NATIVE_DIAGNOSTIC,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NO_END_TO_END_RUN,NOT_EVALUATED,NOT_SEPARATELY_RECORDED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,OUTPUT_UNAVAILABLE
flipguard_provider_execution_record_v3,HECATE,post-publication-main@aedca73dac27b86044721781b9fca8d12e665876,Ubuntu 22.04; SEAL 4.0.0; MLIR 18; NVIDIA CUDA 12.2 toolkit,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,OFFICIAL_NATIVE_DIAGNOSTIC,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NO_END_TO_END_RUN,NOT_EVALUATED,NOT_SEPARATELY_RECORDED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,OUTPUT_UNAVAILABLE
flipguard_provider_execution_record_v3,ELASM,main@3c37c11b29ca480525bb6681e0254bdf90029425,Ubuntu 22.04; MLIR/LLVM 16.0.6; Microsoft SEAL 4.0.0,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,OFFICIAL_NATIVE_DIAGNOSTIC,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NO_END_TO_END_RUN,NOT_EVALUATED,NOT_SEPARATELY_RECORDED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,OUTPUT_UNAVAILABLE
flipguard_provider_execution_record_v3,HEILP,NR,NOT_AVAILABLE,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,OFFICIAL_NATIVE_DIAGNOSTIC,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NO_END_TO_END_RUN,NOT_EVALUATED,NOT_SEPARATELY_RECORDED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,OUTPUT_UNAVAILABLE
flipguard_provider_execution_record_v3,DaCapo,main@4616402710f39df3e5f5bd7930a6c036025aaac3,Ubuntu 22.04; MLIR/LLVM 18.1.8; Microsoft SEAL 4.0.0,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,OFFICIAL_NATIVE_DIAGNOSTIC,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NO_END_TO_END_RUN,NOT_EVALUATED,NOT_SEPARATELY_RECORDED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,OUTPUT_UNAVAILABLE
