arm,dataset_id,model_id,outcome,candidate_id,trials,repairs,repair_causes,security_admission,validation_status,validation_flips,validation_violations,validation_max_error,validation_max_budget_usage,key_runs,encrypted_sample_evaluations,mean_total_ms,audit_status,audit_flips,audit_violations,audit_key_runs,audit_encrypted_sample_evaluations,audit_retuning
one_shot_direct,banknote,linear_poly3,NO_SAFE,,1,0,,PASS,REJECTED,10,27,0.01702277930692836,6.611377605280414,3,615,70.7103803382114,NOT_APPLICABLE_NO_SAFE,,,,,
full_flipguard,banknote,linear_poly3,SELECTED,synth_repair_scale_1_rescale_N13_Q7_S24_d1ff36e37428,2,1,repair_scale_1,PASS,SAFE,0,0,0.007005072803367152,0.13829860074676525,6,1230,74.97453917398379,LOCKED_AUDIT_PASS,0,0,3,621,0
graph_only_fixed_tolerance,banknote,linear_poly3,SELECTED,synth_repair_scale_1_rescale_N13_Q7_S24_067bcad7ea58,2,1,repair_scale_1,PASS,SAFE,0,0,0.006961764125433756,0.14703611314458293,6,1230,90.18445754146337,LOCKED_AUDIT_PASS,0,0,3,621,0
latency_only_no_certification,banknote,linear_poly3,SELECTED_WITHOUT_CERTIFICATION,short_chain_3__baseline_non_rescale,14,0,,PASS,REJECTED,96,205,0.6105700009,,14,2870,113.9897561951,NOT_EVALUATED,,,,,
one_shot_direct,banknote,mlp_square_linear_score,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_f48255b39c11,1,0,,PASS,SAFE,0,0,0.0005417570608959865,0.033723259421729074,3,615,116.11520406991872,LOCKED_AUDIT_PASS,0,0,3,621,0
full_flipguard,banknote,mlp_square_linear_score,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_f48255b39c11,1,0,,PASS,SAFE,0,0,0.0005417570608959865,0.033723259421729074,3,615,116.11520406991872,LOCKED_AUDIT_PASS,0,0,3,621,0
graph_only_fixed_tolerance,banknote,mlp_square_linear_score,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_c4da0c87b178,1,0,,PASS,SAFE,0,0,0.0008695422385601725,0.05135672630792481,3,615,136.70090272032522,LOCKED_AUDIT_PASS,0,0,3,621,0
latency_only_no_certification,banknote,mlp_square_linear_score,SELECTED_WITHOUT_CERTIFICATION,short_chain_3__rescale_aware,14,0,,PASS,REJECTED,91,205,0.6098085023,,14,2870,100.0947065317,NOT_EVALUATED,,,,,
one_shot_direct,digits_binary,linear_poly3,NO_SAFE,,1,0,,PASS,REJECTED,98,444,0.01448574915853329,24.45322853750134,3,810,113.2146148283953,NOT_APPLICABLE_NO_SAFE,,,,,
full_flipguard,digits_binary,linear_poly3,SELECTED,synth_repair_scale_1_rescale_N13_Q7_S24_81046dc5ebf3,2,1,repair_scale_1,PASS,SAFE,0,0,0.005064342457491322,0.35578509419766385,6,1620,116.70129964320991,LOCKED_AUDIT_PASS,0,0,3,810,0
graph_only_fixed_tolerance,digits_binary,linear_poly3,SELECTED,synth_repair_scale_1_rescale_N13_Q7_S24_c61f6e7d9c76,2,1,repair_scale_1,PASS,SAFE,0,0,0.005133674994533988,0.24794157476881926,6,1620,139.63732578024707,LOCKED_AUDIT_PASS,0,0,3,810,0
latency_only_no_certification,digits_binary,linear_poly3,SELECTED_WITHOUT_CERTIFICATION,short_chain_3__baseline_non_rescale,14,0,,PASS,REJECTED,129,264,0.6159805173,,14,3780,142.5038057889,NOT_EVALUATED,,,,,
one_shot_direct,digits_binary,mlp_square_linear_score,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_391fa6104874,1,0,,PASS,SAFE,0,0,0.00015805988868011767,0.10349674533430765,3,810,159.17204799876524,LOCKED_AUDIT_PASS,0,0,3,810,0
full_flipguard,digits_binary,mlp_square_linear_score,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_391fa6104874,1,0,,PASS,SAFE,0,0,0.00015805988868011767,0.10349674533430765,3,810,159.17204799876524,LOCKED_AUDIT_PASS,0,0,3,810,0
graph_only_fixed_tolerance,digits_binary,mlp_square_linear_score,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_cf4e262325b9,1,0,,PASS,SAFE,0,0,0.0001566142883415722,0.1293051970230075,3,810,213.23374813950593,LOCKED_AUDIT_PASS,0,0,3,810,0
latency_only_no_certification,digits_binary,mlp_square_linear_score,SELECTED_WITHOUT_CERTIFICATION,short_chain_3__rescale_aware,14,0,,PASS,REJECTED,129,254,0.5825953151,,14,3780,138.2587538815,NOT_EVALUATED,,,,,
one_shot_direct,iris_binary,linear_poly3,SELECTED,synth_analysis_minimum_rescale_N13_Q7_S20_486a1fc2f0d5,1,0,,PASS,SAFE,0,0,0.015570942069598248,0.5375464668185298,3,42,82.34413326190477,LOCKED_AUDIT_PASS,0,0,3,48,0
full_flipguard,iris_binary,linear_poly3,SELECTED,synth_analysis_minimum_rescale_N13_Q7_S20_486a1fc2f0d5,1,0,,PASS,SAFE,0,0,0.015570942069598248,0.5375464668185298,3,42,82.34413326190477,LOCKED_AUDIT_PASS,0,0,3,48,0
graph_only_fixed_tolerance,iris_binary,linear_poly3,SELECTED,synth_analysis_minimum_rescale_N13_Q7_S20_3a9b88aabbb2,1,0,,PASS,SAFE,0,0,0.014020533164250448,0.5104682103817044,3,42,97.15603247619049,LOCKED_AUDIT_PASS,0,0,3,48,0
latency_only_no_certification,iris_binary,linear_poly3,SELECTED_WITHOUT_CERTIFICATION,short_chain_3__baseline_non_rescale,14,0,,PASS,REJECTED,7,14,0.6938779067,,14,196,129.8929377143,NOT_EVALUATED,,,,,
one_shot_direct,iris_binary,mlp_square_linear_score,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_925be61044e9,1,0,,PASS,SAFE,0,0,0.0003065794620166207,0.008847399294811995,3,42,133.22081273809522,LOCKED_AUDIT_PASS,0,0,3,48,0
full_flipguard,iris_binary,mlp_square_linear_score,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_925be61044e9,1,0,,PASS,SAFE,0,0,0.0003065794620166207,0.008847399294811995,3,42,133.22081273809522,LOCKED_AUDIT_PASS,0,0,3,48,0
graph_only_fixed_tolerance,iris_binary,mlp_square_linear_score,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_869be9dc4276,1,0,,PASS,SAFE,0,0,0.00019382805134565695,0.00435469854700274,3,42,161.309001,LOCKED_AUDIT_PASS,0,0,3,48,0
latency_only_no_certification,iris_binary,mlp_square_linear_score,SELECTED_WITHOUT_CERTIFICATION,short_chain_3__rescale_aware,14,0,,PASS,REJECTED,7,14,0.6451233846,,14,196,106.3323036429,NOT_EVALUATED,,,,,
one_shot_direct,mnist_pool16,linear_poly3,NO_SAFE,,1,0,,PASS,REJECTED,70,323,0.016488114313325752,20.22486468263634,3,747,194.54438689692114,NOT_APPLICABLE_NO_SAFE,,,,,
full_flipguard,mnist_pool16,linear_poly3,SELECTED,synth_repair_scale_1_rescale_N13_Q7_S24_ec91b41756ca,2,1,repair_scale_1,PASS,SAFE,0,0,0.0062492760559068605,0.41974780107612053,6,1494,194.57191621686744,LOCKED_AUDIT_PASS,0,0,3,753,0
