system,publication,optimization_target,parameter_selection,scale_management,bootstrapping,packing_layout,model_adaptation,numerical_error,final_decision,no_safe,locked_audit,security_admission
CHET,PEER_REVIEWED,tensor layout; rotation; encryption parameters; runtime,FULL,OUT_OF_SCOPE,OUT_OF_SCOPE,FULL,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE
EVA,PEER_REVIEWED,rescale and relinearization insertion; parameter generation; vector code optimization,FULL,FULL,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,FULL,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE
HECO,PEER_REVIEWED,scheme-aware lowering; SIMD vectorization; dataflow optimization,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,FULL,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE
HEIR,PREPRINT,multi-scheme compiler IR and backend code generation,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,FULL,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE
ANT-ACE,PEER_REVIEWED,automated neural-network compilation and packed encrypted inference,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,FULL,FULL,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE
HEaaN.MLIR,PEER_REVIEWED,low-level modular and polynomial operation optimization,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,FULL,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE
HECATE,PEER_REVIEWED,performance-aware scale placement,FULL,FULL,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,FULL,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE
ELASM,PEER_REVIEWED,error-latency-aware scale planning,FULL,FULL,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,FULL,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE
HEILP,PEER_REVIEWED,ILP scale and level management,OUT_OF_SCOPE,FULL,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE
DaCapo,PEER_REVIEWED,automatic bootstrap placement integrated with scale planning,FULL,FULL,FULL,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE
