system,provider_queue_id,source_checkout_state,clean_build_state,official_pipeline_state,final_state,evidence_level,encrypted_e2e_runs,decision_gate_state,security_state,portability_state,reason,terminal_manifest
EVA,eva,PASS,PASS,NOT_EVALUATED,DECISION_BEARING_LOCKED_AUDIT,6,18,SAFE_AUDIT_PASS,SECURITY_TARGET_MATCH_ASSUMPTIONS_DIFFER,NATIVE_ONLY,NOT_APPLICABLE,NOT_APPLICABLE
ELASM,corelab,PASS,PASS,NOT_EVALUATED,ENCRYPTED_END_TO_END_PARTIAL_GRID,3,70,NOT_EVALUATED,SECURITY_NOT_EVALUATED,NATIVE_ONLY,NOT_APPLICABLE,NOT_APPLICABLE
HECATE,corelab,PASS,PASS,NOT_EVALUATED,CLEAN_BUILD_PASS_RUNTIME_PREPARATION_FAILED,1,0,NOT_EVALUATED,SECURITY_NOT_EVALUATED,NOT_EVALUATED,NOT_APPLICABLE,NOT_APPLICABLE
HEIR,heir,PASS,NOT_EVALUATED,NOT_EVALUATED,ENCRYPTED_END_TO_END_RAW_OUTPUT,3,4,NOT_EVALUATED,SECURITY_NOT_EVALUATED,NATIVE_ONLY,NOT_APPLICABLE,NOT_APPLICABLE
HECO,heco,PASS,PASS,PASS,OFFICIAL_PIPELINE_ONLY_DIFFERENT_SCHEME,2,0,NOT_EVALUATED,SECURITY_NOT_EVALUATED,NATIVE_ONLY,NOT_APPLICABLE,NOT_APPLICABLE
Orion,orion,PASS,NOT_EVALUATED,NOT_EVALUATED,ENVIRONMENT_CREATE_BLOCKED,0,0,NOT_EVALUATED,SECURITY_NOT_EVALUATED,NOT_EVALUATED,NOT_APPLICABLE,NOT_APPLICABLE
ANT-ACE,ant-ace,PASS,NOT_EVALUATED,NOT_EVALUATED,LICENSE_BLOCKED,0,0,NOT_EVALUATED,SECURITY_NOT_EVALUATED,NOT_EVALUATED,Pinned official artifact declares no software license; execution cannot be redistributed or promoted.,external/v7/outputs/ant-ace/terminal-state-v1/manifest.json
AutoFHE,autofhe,PASS,NOT_EVALUATED,NOT_EVALUATED,HARDWARE_BLOCKED_NO_GPU,0,0,NOT_EVALUATED,SECURITY_NOT_EVALUATED,NOT_EVALUATED,Official search and encrypted inference path requires CUDA; this host exposes no supported GPU and no official CPU path.,external/v7/outputs/autofhe/terminal-state-v1/manifest.json
DaCapo,dacapo,PASS,NOT_EVALUATED,NOT_EVALUATED,HARDWARE_BLOCKED_NO_GPU,0,0,NOT_EVALUATED,SECURITY_NOT_EVALUATED,NOT_EVALUATED,Official bootstrap workflow requires a supported CUDA device; none is visible on this host.,external/v7/outputs/dacapo/terminal-state-v1/manifest.json
LOHEN,lohen,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NO_EXECUTABLE_ARTIFACT,0,0,NOT_EVALUATED,SECURITY_NOT_EVALUATED,NOT_EVALUATED,No official source repository or executable artifact was verified in the frozen landscape audit.,external/v7/outputs/lohen/terminal-state-v1/manifest.json
SLOTHE,slothe,PASS,NOT_EVALUATED,NOT_EVALUATED,LICENSE_BLOCKED,0,0,NOT_EVALUATED,SECURITY_NOT_EVALUATED,NOT_EVALUATED,Pinned repository contains no declared software license; no experimental build is promoted.,external/v7/outputs/slothe/terminal-state-v1/manifest.json
HEaaN.MLIR,heaan-mlir,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NO_EXECUTABLE_ARTIFACT,0,0,NOT_EVALUATED,SECURITY_NOT_EVALUATED,NOT_EVALUATED,No separate official executable artifact was verified in the frozen landscape audit.,external/v7/outputs/heaan-mlir/terminal-state-v1/manifest.json
HEILP,heilp,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NO_EXECUTABLE_ARTIFACT,0,0,NOT_EVALUATED,SECURITY_NOT_EVALUATED,NOT_EVALUATED,No official executable artifact was verified in the frozen landscape audit.,external/v7/outputs/heilp/terminal-state-v1/manifest.json
HALO,halo,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,SHARED_REPOSITORY_CLEAN_BUILD_ONLY,1,0,NOT_EVALUATED,SECURITY_NOT_EVALUATED,NOT_EVALUATED,HALO implementation is integrated in the pinned post-publication HECATE repository without a distinct executable or paper tag; CoreLab V7 records the available shared pipeline separately.,external/v7/outputs/halo/terminal-state-v1/manifest.json
