claim_id,dependency_id,evidence_path,manifest_sha256,required_for_claim,verification_status
scoped_direct_synthesis,direct_confirmatory,docs/evidence/direct_locked_audit_final_source_v1/manifest.json,sha256:f8222a19f32eb78ce6631ae848a7d217bc13851e8bea05f82d581454ff32ef0b,True,DIGEST_BOUND
scoped_direct_synthesis,direct_development,docs/evidence/direct_locked_audit_seed0_development_v1/manifest.json,sha256:40e054b9b1317c5af1a2e177ea3068878ef9d89b9d3afae5aeffaabc2ab3b8b6,True,DIGEST_BOUND
scoped_direct_synthesis,final_suite,docs/evidence/final_confirmatory_suite_v1/manifest.json,sha256:2d10bf8001ede604c195393bcb565e7f873d2b28d9248abdf6b2d7ac90ab85f9,True,DIGEST_BOUND
adaptive_repair,direct_ablation,docs/evidence/direct_synthesis_ablation_v1/manifest.json,sha256:0f40f6041bf2a8999e125fad3d517c68bc47a80ba7bcb12900493ab629dc2e46,True,DIGEST_BOUND
adaptive_repair,direct_confirmatory,docs/evidence/direct_locked_audit_final_source_v1/manifest.json,sha256:f8222a19f32eb78ce6631ae848a7d217bc13851e8bea05f82d581454ff32ef0b,True,DIGEST_BOUND
formal_trial_reduction,final_suite,docs/evidence/final_confirmatory_suite_v1/manifest.json,sha256:2d10bf8001ede604c195393bcb565e7f873d2b28d9248abdf6b2d7ac90ab85f9,True,DIGEST_BOUND
formal_trial_reduction,bounded_oracle,docs/evidence/security_v2_bounded_oracle_v1/manifest.json,sha256:1d2910a80711928145fb9c7af6d31f4672921e52318c4df92021c31761bffe4d,True,DIGEST_BOUND
primary_no_retuning_locked_audit,direct_confirmatory,docs/evidence/direct_locked_audit_final_source_v1/manifest.json,sha256:f8222a19f32eb78ce6631ae848a7d217bc13851e8bea05f82d581454ff32ef0b,True,DIGEST_BOUND
primary_no_retuning_locked_audit,direct_development,docs/evidence/direct_locked_audit_seed0_development_v1/manifest.json,sha256:40e054b9b1317c5af1a2e177ea3068878ef9d89b9d3afae5aeffaabc2ab3b8b6,True,DIGEST_BOUND
no_safe_behavior,no_safe,docs/evidence/no_safe_controls_confirmatory_v1/manifest.json,sha256:878a92d00c928c7fed6dd4caa9ac0597f59e810f32fded3224670b6ee4c2220c,True,DIGEST_BOUND
paired_latency,paired_latency_admission,results/thesis_grade_protocol/paired_latency_claim_admission_v1/manifest.json,sha256:7b66b1063dd612e29b5f4299d5567ffa72ad91199200608cef3f0b271a67fe50,True,DIGEST_BOUND
paired_latency,bounded_oracle,docs/evidence/security_v2_bounded_oracle_v1/manifest.json,sha256:1d2910a80711928145fb9c7af6d31f4672921e52318c4df92021c31761bffe4d,True,DIGEST_BOUND
structural_extension,structural,docs/evidence/structural_extension_v1/manifest.json,sha256:df371a81ef0a348fc7ac04af14d39873453d15f4ea8d4574f8fbc313e3488e1b,True,DIGEST_BOUND
structural_extension,structural_failure,docs/evidence/structural_audit_failure_analysis_v1/manifest.json,sha256:995db9c4e8ae0977e4664df10ae646a425da27cf46d101a181e86674721f30b9,True,DIGEST_BOUND
structural_extension,margin_interpretation,docs/evidence/margin_utilization_interpretation_v1/manifest.json,sha256:12626638b1abb5d57155345ee84e7e145dc13bfc947767f4484b1e18475cdce0,True,DIGEST_BOUND
scoped_non_tabular_extension,sobel,docs/evidence/non_tabular_sobel_holdout_v1/manifest.json,sha256:920b55cb261555214fd0ff9c3d71fbe754e1a00bbf81c1d6140229995918a67c,True,DIGEST_BOUND
scoped_non_tabular_extension,harris,docs/evidence/non_tabular_harris_holdout_v1/manifest.json,sha256:3c0d441dffea891aa90d5ab35635ba8ce26f7fe4fbbf7bc56ff502db3f6fc4ca,True,DIGEST_BOUND
