system,official_repository,artifact_revision,license,availability,inclusion_class,reason
CHET,NR,NR,NR,NO_SEPARATE_OFFICIAL_ARTIFACT_VERIFIED,RELATED_WORK_ONLY,No separate official executable repository was verified; later CHET-on-EVA code is not the original artifact.
EVA,https://github.com/microsoft/EVA,v1.0.1@4cd3254c9c51340ae30c451495ce5378135758c0,MIT,OFFICIAL_ARTIFACT_PINNED,REQUIRED_REPRODUCTION,Native runtime is eligible; no current frozen workload plan satisfies every PORTABLE_EXACT condition.
HECO,https://github.com/MarbleHE/HECO,artifact@cf396f05029930b6476c10266853b2099e23bd32,Apache-2.0,OFFICIAL_ARTIFACT_PINNED,CONDITIONAL_REPRODUCTION,Common-executor inclusion requires an exact CKKS plan with exposed Q/P and schedule.
HEIR,https://github.com/google/heir,v2026.08.01@cb7a7a30bb4d995b50e33bb5cd82ff7434db3656,Apache-2.0 with MIT components,OFFICIAL_RELEASE_PINNED,REQUIRED_REPRODUCTION,A build/runtime smoke is not a PORTABLE_EXACT FlipGuard workload plan.
ANT-ACE,https://github.com/ant-research/ace-compiler,cgo2025-artifacts@15c95a7346d89355d68d5bf4fe8ab3b952740e1a,NO_LICENSE_DECLARED_IN_PINNED_REPOSITORY,OFFICIAL_ARTIFACT_PINNED_HIGH_RESOURCE,REQUIRED_REPRODUCTION,Full artifact requests at least 400 GB RAM and uses different models/packing; build smoke is still audited.
HEaaN.MLIR,NR,NR,NR,NO_OFFICIAL_EXECUTABLE_REPOSITORY_VERIFIED,RELATED_WORK_ONLY,No official public executable artifact was verified.
HECATE,https://github.com/corelab-src/hecate-compiler,post-publication-main@aedca73dac27b86044721781b9fca8d12e665876,MIT,POST_PUBLICATION_SNAPSHOT_PINNED,REQUIRED_REPRODUCTION,No paper-tagged revision; exact packing and schedule identity must be separately established.
ELASM,https://github.com/corelab-src/elasm,main@3c37c11b29ca480525bb6681e0254bdf90029425,Apache-2.0,OFFICIAL_REPOSITORY_PINNED,REQUIRED_REPRODUCTION,Exact common-executor use requires complete emitted schedule and packing identity.
HEILP,NR,NR,NR,NO_OFFICIAL_ARTIFACT_VERIFIED,CONDITIONAL_REPRODUCTION,No official executable artifact was verified.
DaCapo,https://github.com/corelab-src/dacapo,main@4616402710f39df3e5f5bd7930a6c036025aaac3,MIT,OFFICIAL_REPOSITORY_PINNED,REQUIRED_REPRODUCTION,"The four frozen workloads require no bootstrap, so performance comparison is NOT_APPLICABLE_NO_BOOTSTRAP."
HALO,https://github.com/corelab-src/hecate-compiler,post-publication-main@aedca73dac27b86044721781b9fca8d12e665876,MIT,IMPLEMENTATION_IN_POST_PUBLICATION_REPOSITORY_NO_PAPER_TAG,CONDITIONAL_REPRODUCTION,Current frozen workloads have no bootstrap and no paper-tagged artifact revision was verified.
ReSBM,https://github.com/ant-research/ace-compiler,post-artifact-main@929e9b621f11bebbaa9ec1e215f4a52e3d07109b,NO_LICENSE_DECLARED_IN_REPOSITORY,SOURCE_INTEGRATED_AFTER_CGO_ARTIFACT,CONDITIONAL_REPRODUCTION,No bootstrap is needed by the frozen workloads; license and high-resource constraints are recorded.
Orbit,NR,NR,NR,NO_PUBLIC_EXECUTABLE_ARTIFACT_VERIFIED,CONDITIONAL_REPRODUCTION,No official executable artifact was verified and current workloads require no bootstrap.
AutoFHE,https://github.com/human-analysis/AutoFHE,main@a43af0453e5237e2ff4a5630a10ece1a062b9d88,MIT,OFFICIAL_ARTIFACT_PINNED,CONDITIONAL_REPRODUCTION,It changes the network/activation search space and is not an exact frozen-model configuration provider.
Orion,https://github.com/baahl-nyu/orion,main@be8a827350a147d610fe3bb998b5bea8de814ff8,MIT,OFFICIAL_ARTIFACT_PINNED,REQUIRED_REPRODUCTION,Public configurations failed exact graph/security import in the existing fail-closed adapter audit.
LOHEN,NR,NR,NR,NO_OFFICIAL_SOURCE_ARTIFACT_VERIFIED,REQUIRED_REPRODUCTION,Required reproduction stops at ARTIFACT_UNAVAILABLE because no official source artifact was verified.
SLOTHE,https://github.com/SNUSOR-PECT/SLOTHE,master@33ccff3519c9df1dc255420e8a1bfe4da501b1f0,NO_LICENSE_DECLARED_IN_REPOSITORY,OFFICIAL_REPOSITORY_AND_ZENODO_VERIFIED,CONDITIONAL_REPRODUCTION,Different model semantics and undeclared repository license prevent a common frozen-workload arm.
Application-Aware Approximate HE,NR,NR,NR,NOT_A_PERFORMANCE_PROVIDER,NOT_COMPARABLE,Not a performance autotuner; included in security/assurance positioning only.
FHE-Agent,NR,NR,NR,NO_OFFICIAL_EXECUTABLE_REPOSITORY_VERIFIED,CONDITIONAL_REPRODUCTION,"No official executable artifact was verified, so it remains related-work evidence."
FHECrafter,NR,NR,NR,OFFICIAL_DOI_METADATA_ONLY_NO_EXECUTABLE_ARTIFACT,REPRODUCTION_BLOCKED,"Official DOI metadata is available, but no official executable repository was verified."
