system,stage,status,reason_code,exact_error,attempts,scientific_effect
CHET,BUILD_OR_REPRODUCTION,RELATED_WORK_ONLY,ARTIFACT_UNAVAILABLE,No separate official executable repository was verified.,0,excluded from reproduced baseline count; retained in landscape
HEIR,BUILD_OR_REPRODUCTION,REPRODUCTION_BLOCKED,THREE_RECOVERIES_EXHAUSTED_PYTHON_CONFIG_MISSING,RuntimeError: Could not build development config. Did you run bazel?,3,excluded from reproduced baseline count; retained in landscape
HEaaN.MLIR,BUILD_OR_REPRODUCTION,RELATED_WORK_ONLY,ARTIFACT_UNAVAILABLE,No official public executable artifact was verified.,0,excluded from reproduced baseline count; retained in landscape
HECATE,BUILD_OR_REPRODUCTION,REPRODUCTION_BLOCKED,THREE_RECOVERIES_EXHAUSTED_BROKEN_MLIR_CUDA_ENVIRONMENT,"LLVMExports.cmake references /usr/lib/llvm-18/lib/libLLVM-18.so.1, but the mixed binary package closure does not contain the target.",3,excluded from reproduced baseline count; retained in landscape
HEILP,BUILD_OR_REPRODUCTION,REPRODUCTION_BLOCKED,ARTIFACT_UNAVAILABLE,No official executable artifact was verified.,0,excluded from reproduced baseline count; retained in landscape
HALO,BUILD_OR_REPRODUCTION,NOT_APPLICABLE,NOT_APPLICABLE_NO_BOOTSTRAP,The four frozen common workloads contain no bootstrap operation.,0,excluded from reproduced baseline count; retained in landscape
ReSBM,BUILD_OR_REPRODUCTION,NOT_APPLICABLE,NOT_APPLICABLE_NO_BOOTSTRAP,The four frozen common workloads contain no bootstrap operation.,0,excluded from reproduced baseline count; retained in landscape
Orbit,BUILD_OR_REPRODUCTION,REPRODUCTION_BLOCKED,ARTIFACT_UNAVAILABLE_AND_NOT_APPLICABLE_NO_BOOTSTRAP,No official executable artifact was verified; the frozen workloads also require no bootstrapping.,0,excluded from reproduced baseline count; retained in landscape
LOHEN,BUILD_OR_REPRODUCTION,REPRODUCTION_BLOCKED,ARTIFACT_UNAVAILABLE,The official paper exposes no LOHEN source repository or executable artifact.,1,excluded from reproduced baseline count; retained in landscape
Application-Aware Approximate HE,BUILD_OR_REPRODUCTION,NOT_COMPARABLE,POSITIONING_ONLY_NOT_PERFORMANCE_TUNER,"The work is a security/precision analysis, not a performance configuration provider.",0,excluded from reproduced baseline count; retained in landscape
FHE-Agent,BUILD_OR_REPRODUCTION,REPRODUCTION_BLOCKED,ARTIFACT_UNAVAILABLE_PREPRINT,No official executable artifact was verified for the preprint.,0,excluded from reproduced baseline count; retained in landscape
FHECrafter,BUILD_OR_REPRODUCTION,REPRODUCTION_BLOCKED,ARTIFACT_UNAVAILABLE,No official executable artifact was verified.,0,excluded from reproduced baseline count; retained in landscape
