system,category,workload,dataset,hardware,backend,security,paper_baseline,reported_metric,reported_improvement,normalized_baseline_over_system,derived,source_locator,official_paper,pdf_sha256
CHET,compiler_parameter_selection,LeNet-5-small,MNIST,dual-socket Intel Xeon E5-2667v3 3.2 GHz; 16 threads; 224 GiB,Microsoft SEAL,paper parameter table,hand-written implementation,"latency seconds: hand-written 14, CHET 8",1.75x derived speedup,1.75,True,"PDF page 10, Figure 6",https://doi.org/10.1145/3314221.3314628,1933451d6493ee2a621e672cecdd64a55ef4a81d5274d6951da7eb701f079589
EVA,compiler_parameter_selection,five CHET neural networks,MNIST/CIFAR and industrial workload,56-thread evaluation environment reported by paper,Microsoft SEAL,paper evaluation parameters,CHET,average DNN inference latency,5.3x average speedup,5.3,False,PDF page 12 Table 5 and page 14 conclusion,https://doi.org/10.1145/3385412.3386023,80f1171a20b676b412081d5b3d517c42102030cdd8251546cd13e7ffded1ea66
HECO,general_compiler,Roberts Cross 64x64,image kernel,paper evaluation environment,HECO-generated FHE program,paper backend configuration,non-batched novice implementation,application latency,3454x speedup,3454.0,False,"PDF page 13, Roberts Cross evaluation narrative",https://www.usenix.org/conference/usenixsecurity23/presentation/viand,815039e85b3734869fd5262c847b96f757bac47238b66a8271912d7acdda5f1a
ANT-ACE,dnn_compiler,ResNet models,CIFAR,single CPU evaluation,ACE runtime,paper-selected RNS-CKKS parameters,expert-crafted versions,performance,2.24x speedup,2.24,False,PDF page 2 abstract,https://doi.org/10.1145/3696443.3708924,bc9b1aafb56b179f9d507f071c3a0706aad706a454912d163cc584eeeae8ace5
HECATE,scale_management,machine-learning FHE applications including MLP and LeNet,paper benchmark suite,paper evaluation environment,SEAL-based compiler,paper 128-bit backend setting,EVA,latency,27.38% speedup,1.3769278435684018,True,PDF page 1 abstract and page 10 conclusion,https://doi.org/10.1109/CGO53902.2022.9741265,0ae9ad193c58cddd0da4fca37a5033a379256fea0962c9de7a34fb1d4f46b6cb
ELASM,scale_management,ten ML/DL benchmarks,paper benchmark suite,Intel Core i7-8700 3.2 GHz; 64 GB,Microsoft SEAL 3.5.9,paper backend setting,EVA at matched average error,latency,24.9% lower latency,1.3315579227696404,True,"PDF page 11, Figure 12b",https://www.usenix.org/conference/usenixsecurity23/presentation/lee-yongwoo,8c1ad29a2b8e7f43ed265a55576dc73c0569bf7d354dfd202746579f338b605f
DaCapo,bootstrapping,deep-learning models requiring bootstrapping,paper benchmark suite,paper evaluation environment,CoreLab compiler/runtime,paper backend setting,manually implemented FHE programs,average latency,1.21x average speedup,1.21,False,PDF page 1 abstract and page 2 contributions,https://doi.org/10.1145/3575693.3575711,20c7e84518987441d6b08ad1943f8cf3953423b70db7d64b5382859e764d0803
ReSBM,bootstrapping,large neural models,paper benchmark suite,paper evaluation environment,ACE compiler/runtime,paper backend setting,Fhelipe,encrypted inference latency,12.1% average improvement,1.1376564277588168,True,PDF page 1 abstract and page 3 contributions,https://ant-research.github.io/publications/resbm.pdf,ef90741b93742f37893f8780f1863d21a8758505b953d7ae760b8a1c43a5d6e0
AutoFHE,dnn_application_adaptation,encrypted CIFAR networks,CIFAR,paper evaluation environment,RNS-CKKS,paper backend setting,high-degree polynomial methods,secure inference latency,1.32x to 1.8x speedup; lower bound plotted,1.32,False,PDF page 1 abstract and page 12 Figure 8,https://www.usenix.org/conference/usenixsecurity24/presentation/ao,f340cc685e8559a86bcd7f2769f7550271dcac957fcd777aca9665293d95e8f7
Orion,dnn_compiler,ResNet-20,CIFAR-10,same GCP instance as reported comparison,Lattigo,paper parameter set,Fhelipe,total latency,2.38x speedup,2.38,False,"PDF page 11, Table 4",https://arxiv.org/abs/2311.03470,dcff5492c59d6b908159dc0a39203db8d6d7ac3925c1f9f5ec3d767c66ee35d7
LOHEN,dnn_application_adaptation,CKKS neural-inference suite,paper benchmark suite,paper evaluation environment,Liberate-FHE,paper backend setting,FHE-MP-CNN,end-to-end inference latency,1.08x to 2.88x speedup; geometric range midpoint not pooled,1.08,False,"PDF page 13, Table 13 narrative",https://doi.org/10.1109/HPCA56546.2023.10070986,f15b9e89e060af18676bde973967f8bee3581c0905cebb81d2c76f3b7e6aa91a
SLOTHE,dnn_application_adaptation,BERT inference,paper benchmark suite,paper evaluation environment,paper FHE runtime,paper backend setting,NEXUS,latency with accuracy effect,up to 1.18x speedup and 6% higher accuracy,1.18,False,PDF page 3 contributions and page 15 discussion,https://doi.org/10.1145/3694715.3695978,fac36d42d1351037abfaf6e5eb404a5c943d8507bf734209806ec5db9c463f13
FHE-Agent,agent_application_aware,LeNet,paper benchmark suite,preprint evaluation environment,Orion plus Lattigo/OpenFHE,preprint reports at least 128 bits,naive search,"latency seconds: naive 9.08, FHE-Agent 3.19",2.846394984326019x derived speedup,2.846394984326019,True,"preprint PDF page 6, Table 1",https://arxiv.org/abs/2511.18653,347360507b510bfd66fa16abbd1d409f132593af282da1c5022721e830d82511
FlipGuard,decision_stable_selection,controlled primary,five real tabular datasets; ten dataset-model clusters,single frozen measurement host,Lattigo v6.2.0,Security Policy V2,Security-V2 bounded catalog candidate executions,encrypted candidate executions,90% reduction: 70/700,10.0,True,docs/evidence/final_confirmatory_suite_v1/manifest.json formal_trial_accounting,LOCAL_FROZEN_EVIDENCE,NOT_APPLICABLE
