document,asset_type,number,title_caption,source_csv_json_evidence,generation_script,source_digest,row_count,statistical_unit,axes_legend_meanings,missing_value_representation,claim_ids_supported,placement,binding_status,caption_numbering_status,in_text_reference_before_appearance,orphan_status,visual_status,vector_status
journal_v10,figure,1,구성생성기와 FlipGuard 결정안정성 판정계층,docs/manuscript_review_input/정보보호학회논문지_그림01_구성생성기와_FlipGuard_결정안정성_판정계층_벡터편집원본.svg,IMPORTED_EDITABLE_ASSET; per-asset generator not recorded,c60d72f7a7f3abd7c24a81a34e2346748b72e81d47cd82a279a4e263af6db5ad,N/A,see caption and bound evidence; diagram for non-result figures,embedded in source asset; manual visual audit required,explicit BLOCKED/NOT_EVALUATED labels required; never zero,figure-specific claims in claim_sentence_traceability.csv,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_BROKEN_IMAGE,SVG_BOUND
journal_v10,figure,2,이진 threshold와 다중클래스 argmax 조건,docs/manuscript_review_input/정보보호학회논문지_그림02_이진_threshold와_다중클래스_argmax_조건_벡터편집원본.svg,IMPORTED_EDITABLE_ASSET; per-asset generator not recorded,9716de38ec2ef711bbe65ba35a80d44f478726c9322a983538da80df0314d201,N/A,see caption and bound evidence; diagram for non-result figures,embedded in source asset; manual visual audit required,explicit BLOCKED/NOT_EVALUATED labels required; never zero,figure-specific claims in claim_sentence_traceability.csv,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_BROKEN_IMAGE,SVG_BOUND
journal_v10,figure,3,평가계층과 evidence 규모,docs/manuscript_review_input/정보보호학회논문지_그림03_평가계층과_evidence_규모_벡터편집원본.svg,IMPORTED_EDITABLE_ASSET; per-asset generator not recorded,1e49d5db504209fa13118103ce682662944bfa82d1199f55afe6dac6bf86953b,N/A,see caption and bound evidence; diagram for non-result figures,embedded in source asset; manual visual audit required,explicit BLOCKED/NOT_EVALUATED labels required; never zero,figure-specific claims in claim_sentence_traceability.csv,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_BROKEN_IMAGE,SVG_BOUND
journal_v10,figure,4,EVA scale별 오차와 판단반전,docs/manuscript_review_input/정보보호학회논문지_그림04_EVA_scale별_오차와_판단반전_벡터편집원본.svg,IMPORTED_EDITABLE_ASSET; per-asset generator not recorded,247a54a0fafcc009ff49c2760ae0744a077061358179014f1aeda4fa289c5c57,N/A,see caption and bound evidence; diagram for non-result figures,embedded in source asset; manual visual audit required,explicit BLOCKED/NOT_EVALUATED labels required; never zero,figure-specific claims in claim_sentence_traceability.csv,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_BROKEN_IMAGE,SVG_BOUND
journal_v10,figure,5,동일 Lattigo 실행기 external candidate 비교,docs/manuscript_review_input/정보보호학회논문지_그림05_동일_Lattigo_실행기_external_candidate_비교_벡터편집원본.svg,IMPORTED_EDITABLE_ASSET; per-asset generator not recorded,edce25577ba297e6631cfa4bb67cf6cc7904abdc0179159e8a87d5ae40f96dfc,N/A,see caption and bound evidence; diagram for non-result figures,embedded in source asset; manual visual audit required,explicit BLOCKED/NOT_EVALUATED labels required; never zero,figure-specific claims in claim_sentence_traceability.csv,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_BROKEN_IMAGE,SVG_BOUND
journal_v10,figure,6,CoreLab EVA ELASM scale plan grid,docs/manuscript_review_input/정보보호학회논문지_그림06_CoreLab_EVA_ELASM_scale_plan_grid_벡터편집원본.svg,IMPORTED_EDITABLE_ASSET; per-asset generator not recorded,09f9e1507abd160968834d764f6ba30ff5282706c1f192e0c8ef107db904230a,N/A,see caption and bound evidence; diagram for non-result figures,embedded in source asset; manual visual audit required,explicit BLOCKED/NOT_EVALUATED labels required; never zero,figure-specific claims in claim_sentence_traceability.csv,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_BROKEN_IMAGE,SVG_BOUND
journal_v10,table,1,비교 대상 구성 생성기와 역할,docs/manuscript_review_input/정보보호학회논문지_표01_비교_대상_구성_생성기와_역할.csv,IMPORTED_EDITABLE_CSV; upstream evidence listed in number registry,78ae552e43c5fa422b34e508b4647d93322e629b20bf5b15cead803488fd5e50,6,definition/category row,N/A,textual BLOCKED/UNSUPPORTED/NOT_EVALUATED; never numeric zero,table-specific claims in authoritative_number_registry.json,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,P1_DENSE_TEXT_REVIEW,EDITABLE_CSV_AND_XLSX_BOUND
journal_v10,table,2,FlipGuard 설계 요구사항,docs/manuscript_review_input/정보보호학회논문지_표02_FlipGuard_설계_요구사항.csv,IMPORTED_EDITABLE_CSV; upstream evidence listed in number registry,665ad004b89bc08b01cf9f8a2d7eed36250b4e75e785ff7259a7f93f6c6e57d0,7,definition/category row,N/A,textual BLOCKED/UNSUPPORTED/NOT_EVALUATED; never numeric zero,table-specific claims in authoritative_number_registry.json,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,P1_DENSE_TEXT_REVIEW,EDITABLE_CSV_AND_XLSX_BOUND
journal_v10,table,3,평가 workload와 통계 단위,docs/manuscript_review_input/정보보호학회논문지_표03_평가_workload와_통계_단위.csv,IMPORTED_EDITABLE_CSV; upstream evidence listed in number registry,ae3714f7b808a085dd4dc378a9f278d4239bd22fc03a1822a43f1ad192c9fa0a,6,definition/category row,N/A,textual BLOCKED/UNSUPPORTED/NOT_EVALUATED; never numeric zero,table-specific claims in authoritative_number_registry.json,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,P1_DENSE_TEXT_REVIEW,EDITABLE_CSV_AND_XLSX_BOUND
journal_v10,table,4,EVA scale별 validation 및 설정 고정 최종 검증,docs/manuscript_review_input/정보보호학회논문지_표04_EVA_scale별_validation_및_설정_고정_최종_검증.csv,IMPORTED_EDITABLE_CSV; upstream evidence listed in number registry,4019039a1b32ff3fb4ea707d12f8020cf6df11c92c40879b0709e4154641e011,5,explicitly identified in table; repeats are not unique inputs,N/A,textual BLOCKED/UNSUPPORTED/NOT_EVALUATED; never numeric zero,table-specific claims in authoritative_number_registry.json,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,P1_DENSE_TEXT_REVIEW,EDITABLE_CSV_AND_XLSX_BOUND
