provider,workload,level,graph_identity,operation_order_identity,weights_input_identity,packing_identity,parameter_schedule_identity,security_comparable,headline_eligible,result,reason
CHET,frozen and official workload audit,NOT_EVALUATED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,False,NOT_EVALUATED,no external plan satisfied all E1 fields or a predeclared defensible E2 translation
EVA,frozen and official workload audit,NOT_EVALUATED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,False,NOT_EVALUATED,no external plan satisfied all E1 fields or a predeclared defensible E2 translation
HECO,frozen and official workload audit,NOT_EVALUATED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,False,NOT_EVALUATED,no external plan satisfied all E1 fields or a predeclared defensible E2 translation
HEIR,frozen and official workload audit,NOT_EVALUATED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,False,NOT_EVALUATED,no external plan satisfied all E1 fields or a predeclared defensible E2 translation
ANT-ACE,frozen and official workload audit,NOT_EVALUATED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,False,NOT_EVALUATED,no external plan satisfied all E1 fields or a predeclared defensible E2 translation
HEaaN.MLIR,frozen and official workload audit,NOT_EVALUATED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,False,NOT_EVALUATED,no external plan satisfied all E1 fields or a predeclared defensible E2 translation
HECATE,frozen and official workload audit,NOT_EVALUATED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,False,NOT_EVALUATED,no external plan satisfied all E1 fields or a predeclared defensible E2 translation
ELASM,frozen and official workload audit,NOT_EVALUATED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,False,NOT_EVALUATED,no external plan satisfied all E1 fields or a predeclared defensible E2 translation
HEILP,frozen and official workload audit,NOT_EVALUATED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,False,NOT_EVALUATED,no external plan satisfied all E1 fields or a predeclared defensible E2 translation
DaCapo,frozen and official workload audit,NOT_EVALUATED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,False,NOT_EVALUATED,no external plan satisfied all E1 fields or a predeclared defensible E2 translation
HALO,frozen and official workload audit,NOT_EVALUATED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,False,NOT_EVALUATED,no external plan satisfied all E1 fields or a predeclared defensible E2 translation
ReSBM,frozen and official workload audit,NOT_EVALUATED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,False,NOT_EVALUATED,no external plan satisfied all E1 fields or a predeclared defensible E2 translation
Orbit,frozen and official workload audit,NOT_EVALUATED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,False,NOT_EVALUATED,no external plan satisfied all E1 fields or a predeclared defensible E2 translation
AutoFHE,frozen and official workload audit,NOT_EVALUATED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,False,NOT_EVALUATED,no external plan satisfied all E1 fields or a predeclared defensible E2 translation
Orion,frozen and official workload audit,NOT_EVALUATED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,False,NOT_EVALUATED,no external plan satisfied all E1 fields or a predeclared defensible E2 translation
LOHEN,frozen and official workload audit,NOT_EVALUATED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,False,NOT_EVALUATED,no external plan satisfied all E1 fields or a predeclared defensible E2 translation
SLOTHE,frozen and official workload audit,NOT_EVALUATED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,False,NOT_EVALUATED,no external plan satisfied all E1 fields or a predeclared defensible E2 translation
