provider,workload,portability,graph_identity,operation_order_identity,scale_schedule_identity,rescale_modswitch_relinearization_identity,logn_qp_identity,packing_identity,output_semantics_identity,same_host_result,headline_eligible,reason
EVA,existing schedule-bound development replay plus four frozen contract audit,PORTABLE_PARAMETER_ONLY,SEMANTIC_GRAPH_MISMATCH_FOR_FROZEN_CURRENT_WORKLOADS,NOT_ESTABLISHED,BOUND_FOR_EXISTING_DEVELOPMENT_REPLAY,PARTIAL,BOUND_FOR_EXISTING_DEVELOPMENT_REPLAY,DIFFERENT_RUNTIME_REPRESENTATION,DEVELOPMENT_BINARY_SCORE_ONLY,NOT_EVALUATED,false,"Parameter materialization exists, but every PORTABLE_EXACT identity field is not satisfied"
HECATE,Sobel; Harris; MLP-100; LeNet-5-small frozen contracts,REPRODUCTION_BLOCKED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_EVALUATED,false,No provider output satisfied every frozen PORTABLE_EXACT field
ELASM,Sobel; Harris; MLP-100; LeNet-5-small frozen contracts,NATIVE_ONLY,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_EVALUATED,false,No provider output satisfied every frozen PORTABLE_EXACT field
HEILP,Sobel; Harris; MLP-100; LeNet-5-small frozen contracts,REPRODUCTION_BLOCKED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_EVALUATED,false,No provider output satisfied every frozen PORTABLE_EXACT field
HEIR,Sobel; Harris; MLP-100; LeNet-5-small frozen contracts,REPRODUCTION_BLOCKED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_EVALUATED,false,No provider output satisfied every frozen PORTABLE_EXACT field
HECO,Sobel; Harris; MLP-100; LeNet-5-small frozen contracts,NATIVE_ONLY,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_EVALUATED,false,No provider output satisfied every frozen PORTABLE_EXACT field
ANT-ACE,Sobel; Harris; MLP-100; LeNet-5-small frozen contracts,NATIVE_ONLY,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_EVALUATED,false,No provider output satisfied every frozen PORTABLE_EXACT field
Orion,Sobel; Harris; MLP-100; LeNet-5-small frozen contracts,NATIVE_ONLY,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_EVALUATED,false,No provider output satisfied every frozen PORTABLE_EXACT field
LOHEN,Sobel; Harris; MLP-100; LeNet-5-small frozen contracts,REPRODUCTION_BLOCKED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_EVALUATED,false,No provider output satisfied every frozen PORTABLE_EXACT field
AutoFHE,Sobel; Harris; MLP-100; LeNet-5-small frozen contracts,NATIVE_ONLY,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_EVALUATED,false,No provider output satisfied every frozen PORTABLE_EXACT field
SLOTHE,Sobel; Harris; MLP-100; LeNet-5-small frozen contracts,NATIVE_ONLY,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_EVALUATED,false,No provider output satisfied every frozen PORTABLE_EXACT field
DaCapo,Sobel; Harris; MLP-100; LeNet-5-small frozen contracts,NATIVE_ONLY,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_EVALUATED,false,No provider output satisfied every frozen PORTABLE_EXACT field
HALO,Sobel; Harris; MLP-100; LeNet-5-small frozen contracts,REPRODUCTION_BLOCKED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_EVALUATED,false,No provider output satisfied every frozen PORTABLE_EXACT field
ReSBM,Sobel; Harris; MLP-100; LeNet-5-small frozen contracts,REPRODUCTION_BLOCKED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_EVALUATED,false,No provider output satisfied every frozen PORTABLE_EXACT field
Orbit,Sobel; Harris; MLP-100; LeNet-5-small frozen contracts,REPRODUCTION_BLOCKED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_EVALUATED,false,No provider output satisfied every frozen PORTABLE_EXACT field
