provider,artifact_revision,workload,runtime,objective,build_status,compile_time,tuning_time,plans_generated,plans_executed,selected_plan,parameter_configuration,key_generation,evaluation_latency,total_latency,rms_error,max_error,output_values,decision_flips,security_state,execution_failure,latency_scope,evidence
CHET,NR,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_APPLICABLE,OFFICIAL_ARTIFACT_BUILD_OR_AVAILABILITY_AUDIT,RELATED_WORK_ONLY,NOT_SEPARATELY_RECORDED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,ARTIFACT_UNAVAILABLE,NOT_EVALUATED,docs/evidence/external_autotuner_comparison_v2/build_matrix.csv
EVA,v1.0.1@4cd3254c9c51340ae30c451495ce5378135758c0,seed0 development linear_poly3 native replay,EVA v1.0.1 / Microsoft SEAL 3.6.4,CKKS vector compilation and parameter generation,PASS,NOT_SEPARATELY_RECORDED,NOT_SEPARATELY_RECORDED,1,1,native_v1.0.1_N16384_Q3x60_P60_scale20,N=16384; Q=3x60 bits; P=60 bits; input scale=20 bits,mean_ms=34.175032667; key_runs=3,mean_execute_ms_per_sample=22.222511714,mean_total_sample_ms=52.252991095,0.938828235923549,1.78480477397315,docs/evidence/eva_native_runtime_replay_v1/raw/validation_ledger.csv,11,NOT_EVALUATED_DIFFERENT_RUNTIME_DISTRIBUTION,NONE; FINAL_GATE_REJECTED,NATIVE_ONLY_NOT_CROSS_RUNTIME_RANKED,docs/evidence/eva_native_runtime_replay_v1/summary.json
HECO,artifact@cf396f05029930b6476c10266853b2099e23bd32,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,Ubuntu 22.04; MLIR/LLVM 17.0.6; Microsoft SEAL 4.0.0; single-job Ninja,OFFICIAL_ARTIFACT_BUILD_OR_AVAILABILITY_AUDIT,PASS,NOT_SEPARATELY_RECORDED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,NOT_RUN_NO_EXACT_WORKLOAD_MAPPING,NOT_EVALUATED,docs/evidence/external_autotuner_comparison_v2/build_matrix.csv
HEIR,v2026.08.01@cb7a7a30bb4d995b50e33bb5cd82ff7434db3656,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,Official heir_py 2026.8.1 wheel attempts in isolated Python environments,OFFICIAL_ARTIFACT_BUILD_OR_AVAILABILITY_AUDIT,REPRODUCTION_BLOCKED,NOT_SEPARATELY_RECORDED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,THREE_RECOVERIES_EXHAUSTED_PYTHON_CONFIG_MISSING,NOT_EVALUATED,docs/evidence/external_autotuner_comparison_v2/build_matrix.csv
ANT-ACE,cgo2025-artifacts@15c95a7346d89355d68d5bf4fe8ab3b952740e1a,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,Official opencc/ace image digest captured before local cleanup,OFFICIAL_ARTIFACT_BUILD_OR_AVAILABILITY_AUDIT,PASS,NOT_SEPARATELY_RECORDED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,NOT_RUN_NO_EXACT_WORKLOAD_MAPPING,NOT_EVALUATED,docs/evidence/external_autotuner_comparison_v2/build_matrix.csv
HEaaN.MLIR,NR,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_APPLICABLE,OFFICIAL_ARTIFACT_BUILD_OR_AVAILABILITY_AUDIT,RELATED_WORK_ONLY,NOT_SEPARATELY_RECORDED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,ARTIFACT_UNAVAILABLE,NOT_EVALUATED,docs/evidence/external_autotuner_comparison_v2/build_matrix.csv
HECATE,post-publication-main@aedca73dac27b86044721781b9fca8d12e665876,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,Ubuntu 22.04; SEAL 4.0.0; MLIR 18; NVIDIA CUDA 12.2 toolkit,OFFICIAL_ARTIFACT_BUILD_OR_AVAILABILITY_AUDIT,REPRODUCTION_BLOCKED,NOT_SEPARATELY_RECORDED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,THREE_RECOVERIES_EXHAUSTED_BROKEN_MLIR_CUDA_ENVIRONMENT,NOT_EVALUATED,docs/evidence/external_autotuner_comparison_v2/build_matrix.csv
ELASM,main@3c37c11b29ca480525bb6681e0254bdf90029425,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,Ubuntu 22.04; MLIR/LLVM 16.0.6; Microsoft SEAL 4.0.0,OFFICIAL_ARTIFACT_BUILD_OR_AVAILABILITY_AUDIT,PASS,NOT_SEPARATELY_RECORDED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,NOT_RUN_NO_EXACT_WORKLOAD_MAPPING,NOT_EVALUATED,docs/evidence/external_autotuner_comparison_v2/build_matrix.csv
HEILP,NR,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_AVAILABLE,OFFICIAL_ARTIFACT_BUILD_OR_AVAILABILITY_AUDIT,REPRODUCTION_BLOCKED,NOT_SEPARATELY_RECORDED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,ARTIFACT_UNAVAILABLE,NOT_EVALUATED,docs/evidence/external_autotuner_comparison_v2/build_matrix.csv
DaCapo,main@4616402710f39df3e5f5bd7930a6c036025aaac3,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,Ubuntu 22.04; MLIR/LLVM 18.1.8; Microsoft SEAL 4.0.0,OFFICIAL_ARTIFACT_BUILD_OR_AVAILABILITY_AUDIT,PASS,NOT_SEPARATELY_RECORDED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,NOT_RUN_NO_EXACT_WORKLOAD_MAPPING,NOT_EVALUATED,docs/evidence/external_autotuner_comparison_v2/build_matrix.csv
